Sample,construct_family,transfer,mu_bulk_per_h,mu_se,fit_r2,plateau_K,inoculum_net,n_band_readings,doubling_h,tau_exp_h,reliable
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,concX,4,0.5804,0.1374,0.947,0.016,0.0001,0,1.19,4.71,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,concX,6,0.6359,0.3423,0.775,0.119,0.0001,0,1.09,3.76,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,concX,13,0.3598,0.1099,0.915,0.417,0.0332,6,1.93,6.35,True
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,concX,3,0.3242,0.143,0.837,0.031,0.0057,0,2.14,6.81,False
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,concX,4,0.2363,0.0715,0.916,0.104,0.0259,1,2.93,11.56,False
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,concX,6,0.3591,0.0871,0.944,0.371,0.0304,7,1.93,6.65,True
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,concX,13,0.2791,0.029,0.989,0.397,0.0362,7,2.48,8.19,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,concY,3,0.3542,0.1957,0.766,0.045,0.0057,0,1.96,6.23,False
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,concY,4,0.9642,0.3696,0.872,0.15,0.0001,3,0.72,2.83,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,concY,6,0.2648,0.038,0.98,0.347,0.0364,10,2.62,9.02,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,concY,13,0.3212,0.0708,0.954,0.402,0.0402,5,2.16,7.11,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,concY,3,0.1968,0.1096,0.763,0.049,0.0117,0,3.52,11.21,False
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,concY,4,0.2702,0.0499,0.967,0.185,0.0019,3,2.57,10.11,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,concY,6,0.2521,0.0711,0.926,0.358,0.0344,9,2.75,9.48,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,concY,13,0.3349,0.0664,0.962,0.403,0.0412,4,2.07,6.82,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.4,concY,3,0.5103,0.1699,0.9,0.08,0.0037,0,1.36,4.32,False
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.4,concY,4,0.7319,0.3881,0.781,0.113,0.0001,0,0.95,3.73,False
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.4,concY,6,0.3456,0.0542,0.976,0.353,0.0284,5,2.01,6.91,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.4,concY,13,0.2075,0.0435,0.958,0.293,0.0362,10,3.34,11.01,True
