allele,marginal_s_per_cycle,se,n_pairs,n_samples,sweep_wins,drift_null_p,null_lo,null_hi,exceeds_drift_null,robust_selection
B32,-0.1145221594517712,0.1211839089300014,1,1,0,0.18,-0.20397917523887912,0.14812119945326432,False,False
B137,-0.11703657340487986,0.02616281378386248,7,6,0,0.03333333333333333,-0.12084524642386663,0.06105461064495909,True,True
B126,-0.1236595014059467,0.2213389598103179,1,3,0,0.02,-0.11754296285584771,0.10434438856529082,True,False
B152,-0.1281612462987529,0.0903179830231337,1,1,0,0.14333333333333334,-0.1683961989315321,0.16479385124040635,False,False
B9,-0.1304440630607166,0.190931089869593,1,1,0,0.02,-0.09964444630725217,0.09845213016434984,True,False
B75,-0.13646791378098538,0.030314033557688167,11,9,0,0.0,-0.06309022025968694,0.03081326129191946,True,True
B147,-0.1413409866451562,0.0967488775257304,1,3,0,0.16333333333333333,-0.2041307601134474,0.15695475234149842,False,False
B46,-0.1415718347771693,0.1875664635987662,1,1,0,0.09,-0.22762225806384895,0.12420214248947353,False,False
B98,-0.1430507315189727,0.0706213952976785,1,1,0,0.06666666666666667,-0.1865552049737082,0.10884931468505406,False,False
B127,-0.1492991346798388,0.0719148410371377,1,2,0,0.013333333333333334,-0.12492818350061319,0.11357389541264797,True,False
B177,-0.15000515424474647,0.04891655185900714,2,3,0,0.05,-0.16087845965206019,0.12851950146457994,False,False
B91,-0.1531786298337736,0.1223006188985739,1,1,0,0.08,-0.18235008787634724,0.1439966136255022,False,False
B61,-0.1742328206298932,0.0533803711731454,1,2,0,0.013333333333333334,-0.14852021715515173,0.09194273832302409,True,False
B165,-0.18705159184650152,0.10459890090893835,2,5,0,0.0033333333333333335,-0.13065008141037016,0.06723906705798345,True,False
B100,-0.1883405993716252,0.0712553349009365,1,1,0,0.02666666666666667,-0.17018642248997357,0.12449579786251011,True,False
B150,-0.1961662113410016,0.1218475300415543,1,4,0,0.006666666666666667,-0.11844270568189688,0.09239917796013719,True,False
