Sample,Candidate,deployed_model,rmse_1var,rmse_4var,wrss_1var,wrss_4var,r2_1var,r2_4var,rse_dofadj_1var,rse_dofadj_4var,loocv_rmse_1var,loocv_rmse_4var
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,A153-B30,constant,0.8024,0.8024,13.7795,13.7795,0.0013,0.0013,2.6248,2.6248,1.7935,2.1451
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,A78-B117,constant,0.226,0.226,0.5345,0.5345,0.4232,0.4232,0.517,0.517,0.7587,0.6726
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,A81-B6,constant,0.5533,0.5533,63.5553,63.5553,0.7902,0.7902,5.6372,5.6372,1.9358,1.5326
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,A90-B75,constant,0.7816,0.7816,13.2018,13.2018,0.0428,0.0428,2.5692,2.5692,1.5884,1.2144
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A153-B137,constant,0.9727,0.9727,14.4879,14.4879,0.0009,0.0009,2.6915,2.6915,2.6221,3.3578
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A153-B77,constant,0.7038,0.7038,13.5722,13.5722,0.4587,0.4587,2.605,2.605,2.3276,3.6247
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A196-B168,constant,0.5343,0.5343,13.9672,13.9672,0.3018,0.3018,2.6426,2.6426,1.1241,0.7375
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A63-B40,constant,0.0413,0.0413,0.0129,0.0129,0.3602,0.3602,0.0803,0.0803,0.0704,0.1728
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A196-B151,constant,0.5152,0.5152,28.9044,28.9044,0.021,0.021,3.8016,3.8016,1.8711,1.6155
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A196-B38,constant,0.1365,0.1365,0.6761,0.6761,0.0207,0.0207,0.5814,0.5814,0.4097,0.3899
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A81-B2,constant,0.5138,0.5138,4.1798,4.1798,0.9486,0.9486,1.4456,1.4456,0.9016,1.2973
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A16-B137,constant,0.4783,0.4783,4.3435,4.3435,0.0046,0.0046,1.4737,1.4737,1.8587,2.1929
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A186-B3,constant,0.5794,0.5794,3.7682,3.7682,0.1694,0.1694,1.3726,1.3726,1.2224,1.6528
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A196-B2,constant,0.2621,0.2621,1.9149,1.9149,0.0696,0.0696,0.9785,0.9785,0.9817,0.6559
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A196-B79,constant,0.1736,0.1736,1.2419,1.2419,0.3104,0.3104,0.788,0.788,0.2962,0.7581
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A196-B87,constant,0.326,0.326,7.9528,7.9528,0.0378,0.0378,1.9941,1.9941,1.233,0.9532
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A20-B71,constant,0.4157,0.4157,1.5536,1.5536,0.0046,0.0046,0.8813,0.8813,1.2897,2.4751
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A21-B6,constant,0.0785,0.0785,0.2039,0.2039,0.7641,0.7641,0.3193,0.3193,0.2369,0.1208
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A78-B137,constant,0.6682,0.6682,11.324,11.324,0.2412,0.2412,2.3795,2.3795,2.3982,2.3593
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A81-B6,constant,0.3867,0.3867,3.1795,3.1795,0.9577,0.9577,1.2609,1.2609,1.2782,1.9184
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.4,A196-B4,constant,1.4581,1.4581,151.2844,151.2844,0.6564,0.6564,8.6973,8.6973,3.4199,2.7989
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A186-B26,two_phase,0.0528,0.0007,0.0528,0.0,0.7538,1.0,0.1625,0.0029,0.1796,0.1658
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A78-B26,two_phase,0.668,0.0464,3.4406,0.026,0.9239,0.9994,1.3116,0.1613,2.7471,2.3715
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B30,two_phase,0.3959,0.0318,7.5368,0.0825,0.8738,0.9986,1.9412,0.2872,1.5978,1.7222
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A78-B3,two_phase,0.3967,0.0349,5.3244,0.0661,0.1353,0.9893,1.6316,0.257,1.707,1.4888
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B151,two_phase,0.6792,0.0582,5.2767,0.0707,0.9596,0.9995,1.6243,0.2659,2.6703,2.8504
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A78-B3,two_phase,0.2725,0.0353,0.7449,0.0125,0.9906,0.9998,0.6103,0.1118,1.1693,0.9835
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A81-B51,two_phase,0.5076,0.0875,9.9788,0.4188,0.8979,0.9957,2.2337,0.6471,2.1879,1.6912
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A83-B40,two_phase,0.6745,0.1578,2.806,0.1886,0.9783,0.9985,1.1845,0.4342,2.8119,3.3356
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A153-B6,two_phase,0.8366,0.2204,9.1852,0.7021,0.8016,0.9848,2.143,0.8379,3.4307,2.2135
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A81-B26,two_phase,0.1238,0.0409,0.5611,0.0451,0.084,0.9263,0.5297,0.2125,0.3387,0.5371
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A185-B26,two_phase,0.4861,0.1814,2.0501,0.222,0.7778,0.9759,1.0124,0.4712,2.0836,1.3004
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A20-B6,two_phase,0.306,0.1158,4.4766,0.5566,0.352,0.9194,1.4961,0.7461,0.747,0.8501
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,A78-B26,two_phase,0.3276,0.1034,1.5986,0.2222,0.9693,0.9957,0.894,0.4713,1.2999,1.7181
