Candidate,verA,verB,n_samples,bridged,beta_per_cycle,beta_se,beta_per_generation,allele_pred_per_cycle,beta_pooled_per_cycle,shrinkage_lambda
A81-B174,A81,B174,1,False,0.0951,0.1435,0.0275,0.0871,0.0885,0.173
A78-B70,A78,B70,2,True,0.0471,0.0816,0.0136,0.1152,0.0884,0.394
A96-B26,A96,B26,1,False,0.1045,0.0884,0.0303,0.0794,0.0883,0.356
A81-B40,A81,B40,1,False,-0.2098,0.1506,-0.0607,0.1444,0.0877,0.16
A78-B101,A78,B101,1,False,-0.3875,0.1996,-0.1121,0.1362,0.0849,0.098
A153-B77,A153,B77,3,True,0.0915,0.0647,0.0265,0.077,0.0844,0.507
A90-B70,A90,B70,1,False,0.2445,0.1453,0.0708,0.0457,0.0795,0.17
A83-B40,A83,B40,3,True,0.0655,0.0356,0.0189,0.122,0.0782,0.774
A78-B171,A78,B171,2,True,-0.1559,0.1245,-0.0451,0.1407,0.076,0.218
A78-B30,A78,B30,2,True,0.1069,0.112,0.031,0.0632,0.0744,0.256
A90-B26,A90,B26,1,False,-0.0439,0.1168,-0.0127,0.1116,0.0742,0.241
A81-B171,A81,B171,1,False,-0.1249,0.1582,-0.0362,0.104,0.0703,0.147
A81-B132,A81,B132,2,True,0.0701,0.0309,0.0203,0.067,0.0695,0.819
A196-B18,A196,B18,1,False,0.0298,0.494,0.0086,0.0666,0.0659,0.017
A63-B117,A63,B117,1,False,0.0347,0.2812,0.01,0.0675,0.0658,0.052
A153-B117,A153,B117,1,False,0.0719,0.1723,0.0208,0.0643,0.0652,0.127
A96-B79,A96,B79,2,True,-0.0604,0.1133,-0.0175,0.1075,0.0652,0.252
A196-B117,A196,B117,3,True,0.1399,0.1144,0.0405,0.0403,0.0651,0.249
A63-B171,A63,B171,1,False,0.1308,0.1675,0.0379,0.0524,0.0629,0.134
A78-B159,A78,B159,1,False,0.0591,0.159,0.0171,0.0592,0.0591,0.146
A20-B71,A20,B71,1,False,0.0502,0.1389,0.0145,0.0484,0.0487,0.183
A196-B79,A196,B79,2,True,0.0004,0.0676,0.0001,0.0938,0.0484,0.486
A196-B136,A196,B136,2,True,0.0195,0.0815,0.0056,0.0643,0.0466,0.394
A78-B151,A78,B151,1,False,-0.0582,0.1449,-0.0168,0.0639,0.043,0.171
A83-B151,A83,B151,4,True,0.074,0.0601,0.0214,0.0049,0.0425,0.544
A81-B140,A81,B140,1,False,0.1298,0.0845,0.0376,-0.0138,0.0403,0.377
A81-B66,A81,B66,1,False,-0.1406,0.0994,-0.0407,0.1181,0.0395,0.304
A90-B3,A90,B3,1,False,-0.0575,0.0757,-0.0166,0.1121,0.0392,0.43
A78-B59,A78,B59,1,False,0.0377,0.032,0.0109,0.0451,0.0391,0.809
A81-B120,A81,B120,1,False,-0.084,0.1612,-0.0243,0.0545,0.0348,0.143
A90-B171,A90,B171,1,False,-0.2027,0.1478,-0.0587,0.0711,0.0258,0.165
A90-B120,A90,B120,1,False,0.0275,0.2912,0.008,0.0216,0.0219,0.049
A176-B27,A176,B27,1,False,0.0559,0.1839,0.0162,0.0168,0.0213,0.113
A78-B2,A78,B2,1,False,-0.0103,0.0752,-0.003,0.0436,0.0202,0.434
A196-B85,A196,B85,1,False,0.0165,0.1617,0.0048,0.0158,0.0159,0.142
A196-B103,A196,B103,1,False,0.0166,0.2687,0.0048,0.0147,0.0148,0.057
A186-B26,A186,B26,1,False,0.0124,0.019,0.0036,0.0151,0.0126,0.923
A81-B41,A81,B41,1,False,0.0112,0.1904,0.0032,0.0114,0.0114,0.107
A186-B3,A186,B3,1,False,-0.0383,0.1997,-0.0111,0.0156,0.0103,0.098
A196-B171,A196,B171,3,True,-0.0458,0.1251,-0.0133,0.0252,0.0098,0.216
A152-B151,A152,B151,2,True,-0.0428,0.0906,-0.0124,0.0336,0.0072,0.345
A196-B174,A196,B174,1,False,-0.0309,0.3267,-0.009,0.0082,0.0067,0.039
A196-B70,A196,B70,1,False,0.029,0.1196,0.0084,-0.0003,0.0065,0.232
A81-B30,A81,B30,4,True,-0.0017,0.0375,-0.0005,0.0266,0.0053,0.754
A152-B32,A152,B32,1,False,-0.0024,0.1929,-0.0007,-0.0019,-0.0019,0.104
A90-B59,A90,B59,1,False,0.0389,0.0948,0.0113,-0.0245,-0.0039,0.325
A16-B154,A16,B154,2,True,0.1341,0.1306,0.0388,-0.043,-0.0072,0.202
A21-B6,A21,B6,1,False,-0.0074,0.0308,-0.0021,-0.0073,-0.0074,0.821
A90-B155,A90,B155,1,False,-0.0083,0.1568,-0.0024,-0.0083,-0.0083,0.15
A81-B27,A81,B27,1,False,-0.0472,0.1526,-0.0137,-0.0027,-0.0097,0.157
A90-B151,A90,B151,1,False,-0.0761,0.1651,-0.022,-0.0057,-0.0153,0.137
A81-B123,A81,B123,1,False,-0.0604,0.2493,-0.0175,-0.0144,-0.0174,0.065
A196-B2,A196,B2,2,True,0.0649,0.0821,0.0188,-0.0719,-0.0185,0.391
A90-B123,A90,B123,1,False,0.1448,0.1586,0.0419,-0.0473,-0.0191,0.147
A196-B9,A196,B9,1,False,-0.0183,0.3039,-0.0053,-0.0194,-0.0194,0.045
A90-B108,A90,B108,1,False,-0.0201,0.0376,-0.0058,-0.0201,-0.0201,0.754
A81-B2,A81,B2,1,False,-0.0436,0.0603,-0.0126,0.0069,-0.0205,0.543
A176-B151,A176,B151,1,False,-0.2688,0.1259,-0.0778,0.0468,-0.0208,0.214
A143-B84,A143,B84,2,True,0.0688,0.1452,0.0199,-0.0411,-0.0224,0.17
A196-B132,A196,B132,1,False,-0.1356,0.1965,-0.0392,-0.0118,-0.0243,0.101
A153-B30,A153,B30,5,True,-0.0235,0.0386,-0.0068,-0.0283,-0.0247,0.745
A143-B123,A143,B123,1,False,-0.1628,0.1389,-0.0471,0.0035,-0.0269,0.183
A186-B165,A186,B165,1,False,-0.1033,0.2148,-0.0299,-0.023,-0.0299,0.086
A196-B98,A196,B98,1,False,-0.0309,0.1124,-0.009,-0.031,-0.031,0.255
A83-B84,A83,B84,2,True,0.0718,0.0972,0.0208,-0.0813,-0.0333,0.314
A81-B87,A81,B87,1,False,-0.3532,0.179,-0.1022,-0.0001,-0.0422,0.119
A20-B66,A20,B66,1,False,0.0284,0.071,0.0082,-0.1035,-0.0426,0.462
A78-B84,A78,B84,1,False,-0.1866,0.1566,-0.054,-0.0223,-0.0469,0.15
A196-B87,A196,B87,2,True,0.0259,0.1072,0.0075,-0.079,-0.0503,0.273
A16-B51,A16,B51,1,False,-0.015,0.2211,-0.0043,-0.0599,-0.0562,0.081
A63-B151,A63,B151,1,False,-0.4134,0.2153,-0.1197,-0.0244,-0.0576,0.085
A96-B87,A96,B87,1,False,0.0222,0.2143,0.0064,-0.0653,-0.0578,0.086
A81-B84,A81,B84,2,True,-0.062,0.1017,-0.018,-0.0589,-0.0598,0.295
A96-B27,A96,B27,1,False,0.0094,0.2481,0.0027,-0.0679,-0.0628,0.066
A186-B117,A186,B117,1,False,-0.2839,0.1334,-0.0822,-0.0103,-0.0638,0.196
A196-B151,A196,B151,2,True,-0.1876,0.1806,-0.0543,-0.0516,-0.0675,0.117
A196-B59,A196,B59,1,False,-0.0489,0.4295,-0.0142,-0.0705,-0.07,0.023
A81-B145,A81,B145,2,True,-0.0892,0.2031,-0.0258,-0.0759,-0.0772,0.095
A81-B61,A81,B61,1,False,-0.0793,0.085,-0.0229,-0.079,-0.0791,0.374
A63-B79,A63,B79,1,False,-0.4215,0.0856,-0.122,0.121,-0.0807,0.372
A196-B27,A196,B27,2,True,-0.0902,0.1296,-0.0261,-0.0816,-0.0833,0.205
A196-B150,A196,B150,1,False,-0.084,0.194,-0.0243,-0.0835,-0.0836,0.103
A96-B140,A96,B140,1,False,-0.1807,0.2565,-0.0523,-0.079,-0.0853,0.062
A196-B152,A196,B152,1,False,-0.0863,0.1438,-0.025,-0.086,-0.0861,0.173
A196-B123,A196,B123,2,True,-0.0319,0.1903,-0.0092,-0.0932,-0.0867,0.107
A20-B6,A20,B6,1,False,-0.3521,0.1196,-0.1019,-0.0081,-0.088,0.232
A81-B137,A81,B137,1,False,0.0221,0.1382,0.0064,-0.1134,-0.0883,0.185
A186-B147,A186,B147,1,False,-0.0995,0.154,-0.0288,-0.0995,-0.0995,0.154
A78-B137,A78,B137,3,True,-0.1186,0.0461,-0.0343,-0.0767,-0.1048,0.67
A20-B165,A20,B165,1,False,0.0078,0.2636,0.0023,-0.1153,-0.1081,0.059
A143-B137,A143,B137,1,False,-0.295,0.2529,-0.0854,-0.0955,-0.1082,0.063
A81-B91,A81,B91,1,False,-0.1114,0.1947,-0.0322,-0.1093,-0.1096,0.102
A186-B2,A186,B2,1,False,0.095,0.2629,0.0275,-0.1225,-0.1096,0.059
A153-B84,A153,B84,1,False,-0.24,0.2332,-0.0695,-0.1138,-0.1231,0.074
A196-B119,A196,B119,2,True,-0.133,0.1709,-0.0385,-0.1321,-0.1322,0.129
A196-B11,A196,B11,1,False,-0.1383,0.2318,-0.04,-0.1365,-0.1366,0.075
A196-B145,A196,B145,1,False,-0.0815,0.1529,-0.0236,-0.1548,-0.1433,0.156
A196-B15,A196,B15,3,True,-0.144,0.1416,-0.0417,-0.1433,-0.1434,0.178
A196-B84,A196,B84,1,False,-0.3582,0.3393,-0.1037,-0.1378,-0.1457,0.036
A78-B75,A78,B75,3,True,-0.1605,0.0825,-0.0464,-0.1368,-0.146,0.389
A20-B70,A20,B70,1,False,-0.1531,0.0917,-0.0443,-0.1431,-0.1465,0.34
A153-B137,A153,B137,1,False,0.0858,0.3487,0.0248,-0.1682,-0.1595,0.034
A16-B117,A16,B117,2,True,-0.2027,0.1121,-0.0587,-0.1585,-0.1698,0.256
A81-B65,A81,B65,1,False,-0.1815,0.1158,-0.0525,-0.1804,-0.1807,0.244
A20-B151,A20,B151,2,True,-0.193,0.0538,-0.0559,-0.1944,-0.1936,0.599
A63-B75,A63,B75,1,False,-0.0863,0.1438,-0.025,-0.2251,-0.2011,0.173
A90-B75,A90,B75,3,True,-0.2052,0.0914,-0.0594,-0.2064,-0.206,0.341
A96-B75,A96,B75,1,False,0.0092,0.1733,0.0027,-0.2387,-0.2075,0.126
A186-B84,A186,B84,1,False,-0.3746,0.1653,-0.1084,-0.1883,-0.2138,0.137
A81-B127,A81,B127,1,False,-0.2198,0.1145,-0.0636,-0.2185,-0.2188,0.248
A81-B75,A81,B75,1,False,-0.4039,0.1256,-0.1169,-0.1735,-0.2231,0.215
A196-B75,A196,B75,2,True,-0.0895,0.2372,-0.0259,-0.2524,-0.2407,0.071
A81-B177,A81,B177,2,True,-0.2536,0.0779,-0.0734,-0.2529,-0.2532,0.416
A81-B100,A81,B100,1,False,-0.2589,0.1134,-0.0749,-0.2574,-0.2578,0.251
A196-B38,A196,B38,1,False,-0.2803,0.0502,-0.0811,-0.2801,-0.2802,0.631
A196-B52,A196,B52,2,True,-0.2898,0.1765,-0.0839,-0.2869,-0.2873,0.122
A20-B84,A20,B84,1,False,-0.3679,0.1609,-0.1065,-0.2806,-0.2931,0.143
A16-B140,A16,B140,1,False,-0.306,0.0281,-0.0886,-0.2914,-0.3038,0.846
A90-B47,A90,B47,1,False,-0.0526,0.1303,-0.0152,-0.3685,-0.3044,0.203
A81-B47,A81,B47,1,False,0.252,0.3741,0.073,-0.3356,-0.318,0.03
A16-B137,A16,B137,1,False,0.0528,0.181,0.0153,-0.391,-0.3392,0.117
A152-B47,A152,B47,1,False,-0.3735,0.0439,-0.1081,-0.3292,-0.3598,0.691
A16-B145,A16,B145,1,False,-0.4464,0.1805,-0.1292,-0.3535,-0.3644,0.117
A143-B13,A143,B13,1,False,-0.3863,0.1534,-0.1118,-0.3823,-0.3829,0.155
A20-B126,A20,B126,1,False,-0.3974,0.3523,-0.115,-0.3879,-0.3882,0.034
A196-B46,A196,B46,1,False,-0.4153,0.2986,-0.1202,-0.4029,-0.4035,0.046
