Candidate,verA,verB,n_samples,has_slope_info,r_global_per_h,se_laplace,rel_advantage_per_h,doubling_h,ci_boot_lo,ci_boot_hi,se_boot,loso_heterogeneity_sd,sens_to_OD_weight,identifiability
A78-B89,A78,B89,2,False,0.8167,0.0874,-0.0174,0.85,0.715,0.8831,0.0433,0.0074,0.0079,data-pinned
A113-B153,A113,B153,1,False,0.8152,0.0917,-0.0189,0.85,0.7637,0.8778,0.0344,0.0085,0.0171,data-pinned
A194-B8,A194,B8,1,False,0.8152,0.0917,-0.0189,0.85,0.7704,0.8663,0.0314,0.0085,0.0171,data-pinned
A90-B122,A90,B122,1,False,0.8152,0.0917,-0.0189,0.85,0.7664,0.8837,0.0347,0.0085,0.0171,data-pinned
A20-B84,A20,B84,3,True,0.8147,0.0582,-0.0194,0.85,0.7717,0.8545,0.0202,0.0033,0.0166,data-pinned
A81-B15,A81,B15,3,True,0.8146,0.0793,-0.0196,0.85,0.7603,0.8645,0.0283,0.0019,0.0118,data-pinned
A96-B87,A96,B87,2,True,0.8133,0.0622,-0.0208,0.85,0.775,0.8425,0.0193,0.0047,0.0082,data-pinned
A78-B142,A78,B142,2,True,0.8119,0.0667,-0.0223,0.85,0.7682,0.849,0.0215,0.0045,0.0096,data-pinned
A96-B140,A96,B140,3,True,0.8119,0.0634,-0.0223,0.85,0.7884,0.8431,0.0167,0.0121,0.013,data-pinned
A186-B143,A186,B143,3,True,0.8116,0.0735,-0.0226,0.85,0.7801,0.8637,0.0252,0.0009,0.0124,data-pinned
A78-B150,A78,B150,3,True,0.8104,0.0622,-0.0237,0.86,0.7704,0.8535,0.0216,0.0039,0.0181,data-pinned
A93-B75,A93,B75,1,False,0.81,0.0933,-0.0241,0.86,0.762,0.8964,0.0383,0.0111,0.0047,data-pinned
A91-B170,A91,B170,1,False,0.81,0.0933,-0.0241,0.86,0.7638,0.8606,0.0333,0.0111,0.0047,data-pinned
A36-B170,A36,B170,1,False,0.81,0.0933,-0.0241,0.86,0.7625,0.8734,0.0344,0.0111,0.0047,data-pinned
A49-B123,A49,B123,1,False,0.81,0.0933,-0.0241,0.86,0.7599,0.8753,0.0382,0.0111,0.0047,data-pinned
A58-B18,A58,B18,1,False,0.81,0.0933,-0.0241,0.86,0.763,0.8711,0.0359,0.0111,0.0047,data-pinned
A66-B101,A66,B101,1,False,0.81,0.0933,-0.0241,0.86,0.7596,0.8808,0.0385,0.0111,0.0047,data-pinned
A90-B156,A90,B156,1,False,0.81,0.0933,-0.0241,0.86,0.7608,0.8831,0.04,0.0111,0.0047,data-pinned
A63-B19,A63,B19,1,False,0.81,0.0933,-0.0241,0.86,0.764,0.8649,0.0326,0.0111,0.0047,data-pinned
A63-B177,A63,B177,1,False,0.81,0.0933,-0.0241,0.86,0.7635,0.8661,0.0393,0.0111,0.0047,data-pinned
A50-B149,A50,B149,1,False,0.81,0.0933,-0.0241,0.86,0.7628,0.8646,0.033,0.0111,0.0047,data-pinned
A93-B18,A93,B18,1,False,0.81,0.0933,-0.0241,0.86,0.7613,0.9136,0.0413,0.0111,0.0047,data-pinned
A81-B87,A81,B87,1,False,0.81,0.0933,-0.0241,0.86,0.763,0.8764,0.038,0.0111,0.0047,data-pinned
A114-B74,A114,B74,1,False,0.81,0.0933,-0.0241,0.86,0.761,0.8724,0.037,0.0111,0.0047,data-pinned
A102-B159,A102,B159,1,False,0.81,0.0933,-0.0241,0.86,0.7597,0.8627,0.0328,0.0111,0.0047,data-pinned
A126-B151,A126,B151,1,False,0.81,0.0933,-0.0241,0.86,0.7592,0.8734,0.0378,0.0111,0.0047,data-pinned
A195-B117,A195,B117,1,False,0.81,0.0933,-0.0241,0.86,0.7633,0.8783,0.0384,0.0111,0.0047,data-pinned
A186-B78,A186,B78,1,False,0.81,0.0933,-0.0241,0.86,0.7605,0.8612,0.0351,0.0111,0.0047,data-pinned
A180-B47,A180,B47,1,False,0.81,0.0933,-0.0241,0.86,0.7612,0.8674,0.0362,0.0111,0.0047,data-pinned
A188-B77,A188,B77,1,False,0.81,0.0933,-0.0241,0.86,0.7594,0.8718,0.0397,0.0111,0.0047,data-pinned
A18-B117,A18,B117,1,False,0.81,0.0933,-0.0241,0.86,0.7594,0.8737,0.0361,0.0111,0.0047,data-pinned
A20-B161,A20,B161,1,False,0.81,0.0933,-0.0241,0.86,0.764,0.8589,0.0346,0.0111,0.0047,data-pinned
A20-B150,A20,B150,1,False,0.81,0.0933,-0.0241,0.86,0.7611,0.8594,0.0312,0.0111,0.0047,data-pinned
A77-B125,A77,B125,1,False,0.81,0.0933,-0.0241,0.86,0.7627,0.8671,0.0329,0.0111,0.0047,data-pinned
A74-B130,A74,B130,1,False,0.81,0.0933,-0.0241,0.86,0.7623,0.8661,0.0331,0.0111,0.0047,data-pinned
A33-B3,A33,B3,1,False,0.81,0.0933,-0.0241,0.86,0.7599,0.8585,0.0315,0.0111,0.0047,data-pinned
