Candidate,verA,verB,n_samples,bridged,beta_per_cycle,beta_se,beta_per_generation,allele_pred_per_cycle,beta_pooled_per_cycle,shrinkage_lambda
A153-B105,A153,B105,1,False,0.0421,0.0105,0.0126,0.0421,0.0421,0.558
A176-B120,A176,B120,2,True,0.0423,0.0104,0.0127,0.0404,0.0415,0.558
A153-B75,A153,B75,1,False,0.0421,0.0105,0.0126,0.0406,0.0414,0.558
A78-B130,A78,B130,1,False,0.0384,0.0932,0.0115,0.0391,0.0391,0.016
A83-B137,A83,B137,1,False,0.0384,0.0932,0.0115,0.036,0.0361,0.016
A96-B140,A96,B140,2,True,-0.0462,0.1185,-0.0139,0.028,0.0273,0.01
A20-B126,A20,B126,3,True,0.0239,0.0098,0.0072,0.0239,0.0239,0.592
A96-B47,A96,B47,1,False,0.124,0.0522,0.0373,0.0153,0.0205,0.048
A78-B151,A78,B151,3,True,0.0181,0.0056,0.0054,0.0176,0.018,0.813
A90-B47,A90,B47,3,True,-0.0867,0.0486,-0.0261,0.0076,0.0024,0.055
A81-B3,A81,B3,2,True,-0.0079,0.0405,-0.0024,-0.0081,-0.0081,0.078
A81-B15,A81,B15,2,True,0.1206,0.0364,0.0363,-0.0228,-0.0092,0.095
A81-B4,A81,B4,2,True,-0.0077,0.1125,-0.0023,-0.0095,-0.0094,0.011
A196-B122,A196,B122,2,True,-0.0148,0.1859,-0.0045,-0.0155,-0.0155,0.004
A63-B147,A63,B147,2,True,-0.0193,0.0226,-0.0058,-0.0193,-0.0193,0.213
A176-B119,A176,B119,1,False,0.0653,0.1586,0.0196,-0.0222,-0.0217,0.005
A159-B24,A159,B24,2,True,-0.028,0.0993,-0.0084,-0.0279,-0.0279,0.014
A20-B178,A20,B178,2,True,-0.0299,0.1635,-0.009,-0.0312,-0.0312,0.005
A143-B145,A143,B145,1,False,-0.0149,0.0432,-0.0045,-0.0326,-0.0314,0.069
A159-B49,A159,B49,2,True,-0.0324,0.1861,-0.0097,-0.0318,-0.0318,0.004
A81-B132,A81,B132,3,True,-0.0082,0.0402,-0.0025,-0.0415,-0.0389,0.079
A90-B84,A90,B84,2,True,0.0351,0.0365,0.0105,-0.0569,-0.0482,0.094
A78-B142,A78,B142,2,True,-0.0491,0.0165,-0.0147,-0.0491,-0.0491,0.338
A20-B84,A20,B84,3,True,-0.0551,0.0172,-0.0166,-0.0513,-0.0525,0.319
A81-B18,A81,B18,3,True,-0.2228,0.0942,-0.0669,-0.0564,-0.059,0.015
A78-B150,A78,B150,3,True,-0.0822,0.0316,-0.0247,-0.0745,-0.0754,0.122
A81-B140,A81,B140,3,True,-0.0699,0.0421,-0.021,-0.0794,-0.0787,0.073
A83-B50,A83,B50,3,True,-0.0877,0.0255,-0.0264,-0.0876,-0.0876,0.177
A90-B120,A90,B120,3,True,-0.0929,0.0142,-0.0279,-0.0895,-0.0909,0.41
A153-B6,A153,B6,3,True,-0.139,0.114,-0.0418,-0.0915,-0.092,0.011
A81-B40,A81,B40,2,True,-0.0935,0.1518,-0.0281,-0.0953,-0.0953,0.006
A78-B103,A78,B103,2,True,-0.1023,0.1612,-0.0307,-0.0976,-0.0977,0.005
A96-B79,A96,B79,3,True,-0.1446,0.0323,-0.0435,-0.0941,-0.1,0.118
A159-B77,A159,B77,2,True,-0.1056,0.0016,-0.0317,-0.1056,-0.1056,0.981
A20-B11,A20,B11,3,True,-0.1059,0.0414,-0.0318,-0.1059,-0.1059,0.075
A78-B171,A78,B171,3,True,-0.2216,0.0938,-0.0666,-0.1095,-0.1112,0.016
A90-B154,A90,B154,2,True,-0.1226,0.0599,-0.0368,-0.1225,-0.1225,0.037
A196-B30,A196,B30,3,True,-0.0663,0.2942,-0.0199,-0.1272,-0.1271,0.002
A196-B75,A196,B75,2,True,0.1158,0.0482,0.0348,-0.1417,-0.1272,0.056
A63-B79,A63,B79,2,True,-0.109,0.2019,-0.0328,-0.1274,-0.1274,0.003
A78-B70,A78,B70,2,True,-0.1338,0.0761,-0.0402,-0.1326,-0.1326,0.023
A152-B110,A152,B110,2,True,-0.1366,0.0813,-0.041,-0.1361,-0.1361,0.021
A196-B59,A196,B59,3,True,0.1988,0.4036,0.0597,-0.1383,-0.138,0.001
A78-B26,A78,B26,3,True,-0.139,0.0382,-0.0418,-0.1387,-0.1387,0.086
A90-B119,A90,B119,3,True,-0.1657,0.0623,-0.0498,-0.1521,-0.1525,0.035
A90-B155,A90,B155,3,True,-0.3186,0.1291,-0.0957,-0.1562,-0.1575,0.008
A196-B2,A196,B2,3,True,-0.161,0.1687,-0.0484,-0.1587,-0.1587,0.005
A81-B84,A81,B84,3,True,-0.236,0.043,-0.0709,-0.1566,-0.1622,0.07
A90-B159,A90,B159,3,True,-0.1623,0.049,-0.0488,-0.1622,-0.1622,0.055
A152-B151,A152,B151,3,True,-0.1647,0.0198,-0.0495,-0.1647,-0.1647,0.262
A20-B30,A20,B30,3,True,-0.1488,0.0229,-0.0447,-0.1782,-0.172,0.21
A196-B123,A196,B123,3,True,-0.1764,0.1092,-0.053,-0.1753,-0.1753,0.012
A81-B65,A81,B65,3,True,-0.1759,0.1376,-0.0529,-0.1762,-0.1762,0.007
A81-B42,A81,B42,3,True,-0.1888,0.0923,-0.0567,-0.1889,-0.1889,0.016
A96-B75,A96,B75,2,True,-0.0258,0.1287,-0.0078,-0.1907,-0.1893,0.008
A90-B59,A90,B59,3,True,-0.2,0.0488,-0.0601,-0.1949,-0.1952,0.055
A81-B12,A81,B12,2,True,-0.2066,0.0857,-0.0621,-0.2066,-0.2066,0.019
A81-B51,A81,B51,3,True,-0.2184,0.0081,-0.0656,-0.2184,-0.2184,0.677
A196-B27,A196,B27,3,True,-0.1661,0.1529,-0.0499,-0.22,-0.2197,0.006
A63-B75,A63,B75,2,True,-0.0379,0.1522,-0.0114,-0.224,-0.2229,0.006
A90-B145,A90,B145,3,True,-0.3001,0.0877,-0.0902,-0.2263,-0.2276,0.018
A90-B151,A90,B151,3,True,-0.2405,0.0265,-0.0723,-0.2362,-0.2369,0.165
A63-B151,A63,B151,3,True,-0.2934,0.0571,-0.0882,-0.2618,-0.2631,0.041
A196-B150,A196,B150,3,True,-0.2712,0.0076,-0.0815,-0.2716,-0.2713,0.703
A196-B6,A196,B6,2,True,0.023,0.2917,0.0069,-0.2738,-0.2734,0.002
A81-B75,A81,B75,3,True,-0.2988,0.0022,-0.0898,-0.2981,-0.2988,0.965
A196-B171,A196,B171,3,True,-0.1915,0.1185,-0.0576,-0.3066,-0.3055,0.01
A81-B27,A81,B27,3,True,-0.3908,0.077,-0.1174,-0.3764,-0.3767,0.023
A81-B171,A81,B171,2,True,-0.2065,0.2424,-0.062,-0.463,-0.4624,0.002
