allele_kind,allele,marginal_s_per_cycle,marginal_s_per_generation,se,n_pairs,n_samples,drift_null_p,exceeds_drift_null,robust_selection,R_allele_OD_clock_per_h,R_allele_lo,R_allele_hi,correction_frac_of_mubulk,flag_anchor_is_community_level,flag_correction_is_few_pct_of_mubulk,flag_OD_not_biomass,flag_derived_not_measured
verB,B142,-0.1099949681430997,-0.0331,0.0139645382682318,2,2,0.0633333333333333,False,False,0.7994,0.7994,0.7994,0.042,True,True,True,True
verB,B2,-0.1104301131802575,-0.0332,0.1432059314005876,3,3,0.0,True,False,0.7993,0.7993,0.7993,0.042,True,True,True,True
verB,B42,-0.1194061929126132,-0.0359,0.0783283509029344,3,3,0.0866666666666666,False,False,0.7964,0.7964,0.7964,0.045,True,True,True,True
verB,B145,-0.1239455405557635,-0.0372,0.0329093333494676,4,3,0.0666666666666666,False,False,0.795,0.795,0.795,0.047,True,True,True,True
verB,B6,-0.1280678257878647,-0.0385,0.0901397560770222,5,3,0.0,True,True,0.7937,0.7937,0.7937,0.049,True,True,True,True
verB,B119,-0.1442940740983425,-0.0434,0.0492204982958269,4,3,0.0,True,False,0.7885,0.7885,0.7885,0.055,True,True,True,True
verB,B150,-0.1452306344087286,-0.0436,0.006305960122547,6,3,0.0166666666666666,True,True,0.7882,0.7882,0.7882,0.055,True,True,True,True
verB,B65,-0.1461358665693534,-0.0439,0.1167845666242378,3,3,0.0,True,False,0.788,0.788,0.788,0.055,True,True,True,True
verB,B11,-0.1483441232691339,-0.0446,0.0351134974588619,3,3,0.0066666666666666,True,False,0.7873,0.7873,0.7873,0.056,True,True,True,True
verB,B40,-0.1544907467888028,-0.0464,0.1288328125954486,2,2,0.0,True,False,0.7853,0.7853,0.7853,0.059,True,True,True,True
verB,B103,-0.1632930271642859,-0.0491,0.1368378373892466,2,2,0.0,True,False,0.7825,0.7825,0.7825,0.062,True,True,True,True
verB,B77,-0.1664073987392504,-0.05,0.0013951938589477,5,3,0.0,True,True,0.7815,0.7815,0.7815,0.063,True,True,True,True
verB,B154,-0.1836575104670736,-0.0552,0.0508751039570638,2,2,0.0,True,False,0.7761,0.7761,0.7761,0.07,True,True,True,True
verB,B70,-0.1948082969748381,-0.0585,0.0645877512447453,2,3,0.0,True,False,0.7726,0.7726,0.7726,0.074,True,True,True,True
verB,B171,-0.1964323863605646,-0.059,0.0597431566945704,8,3,0.0,True,True,0.772,0.772,0.772,0.075,True,True,True,True
verB,B110,-0.197511560176914,-0.0594,0.0689850912057292,2,3,0.0,True,False,0.7717,0.7717,0.7717,0.075,True,True,True,True
verB,B123,-0.2119691972953819,-0.0637,0.092665536447582,3,3,0.0,True,False,0.7671,0.7671,0.7671,0.08,True,True,True,True
verB,B59,-0.2183613678153819,-0.0656,0.0411368210699897,6,3,0.0,True,True,0.7651,0.7651,0.7651,0.083,True,True,True,True
verB,B12,-0.2676854655005566,-0.0804,0.0727722596704021,2,3,0.0,True,False,0.7495,0.7495,0.7495,0.102,True,False,True,True
verB,B75,-0.3302396170472236,-0.0992,0.0018178822819952,10,3,0.0,True,True,0.7297,0.7297,0.7297,0.125,True,False,True,True
verB,B27,-0.3335655773373685,-0.1002,0.0583766611253342,6,3,0.0,True,True,0.7286,0.7286,0.7286,0.127,True,False,True,True
