Seqsample,Seqorder,Microtiter_plate_well,Sample,Experiment,Plate_name,Strain,DNA_construct,Replicate,Transfer,Isolate,Transformation_library,verA,verB,Candidate,Count
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T13.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,13,P,verABLib_large,A138,B79,A138-B79,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T13.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,13,P,verABLib_large,A143,B84,A143-B84,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T13.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,13,P,verABLib_large,A186,B78,A186-B78,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T13.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,13,P,verABLib_large,A186,B79,A186-B79,7
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T13.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,13,P,verABLib_large,A196,B87,A196-B87,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T13.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,13,P,verABLib_large,A78,B151,A78-B151,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T13.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,13,P,verABLib_large,A78,B77,A78-B77,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T13.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,13,P,verABLib_large,A81,B132,A81-B132,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T13.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,13,P,verABLib_large,A81,B8,A81-B8,181
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A143,B84,A143-B84,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A152,B110,A152-B110,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A152,B151,A152-B151,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A153,B30,A153-B30,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A153,B6,A153-B6,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A176,B120,A176-B120,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A186,B79,A186-B79,4
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A196,B117,A196-B117,13
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A196,B122,A196-B122,4
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A196,B123,A196-B123,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A196,B150,A196-B150,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A196,B171,A196-B171,4
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A196,B2,A196-B2,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A196,B27,A196-B27,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A196,B30,A196-B30,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A196,B59,A196-B59,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A196,B87,A196-B87,10
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A20,B126,A20-B126,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A20,B60,A20-B60,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A63,B117,A63-B117,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A63,B147,A63-B147,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A63,B151,A63-B151,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A63,B75,A63-B75,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A78,B103,A78-B103,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A78,B137,A78-B137,8
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A78,B150,A78-B150,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A78,B151,A78-B151,11
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A78,B171,A78-B171,5
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A78,B70,A78-B70,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A78,B77,A78-B77,7
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A78,B84,A78-B84,7
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A81,B132,A81-B132,5
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A81,B140,A81-B140,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A81,B171,A81-B171,6
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A81,B18,A81-B18,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A81,B27,A81-B27,4
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A81,B3,A81-B3,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A81,B40,A81-B40,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A81,B75,A81-B75,8
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A81,B8,A81-B8,24
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A81,B84,A81-B84,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A83,B50,A83-B50,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A90,B120,A90-B120,5
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A90,B151,A90-B151,5
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A90,B155,A90-B155,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A90,B59,A90-B59,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A96,B79,A96-B79,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,3,P,verABLib_large,A96,B87,A96-B87,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A143,B84,A143-B84,10
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A153,B30,A153-B30,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A153,B6,A153-B6,4
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A186,B78,A186-B78,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A186,B79,A186-B79,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A196,B117,A196-B117,9
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A196,B151,A196-B151,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A196,B171,A196-B171,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A196,B2,A196-B2,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A196,B27,A196-B27,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A196,B59,A196-B59,6
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A196,B8,A196-B8,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A196,B87,A196-B87,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A78,B137,A78-B137,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A78,B151,A78-B151,9
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A78,B171,A78-B171,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A78,B70,A78-B70,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A78,B77,A78-B77,15
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A81,B132,A81-B132,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A81,B137,A81-B137,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A81,B171,A81-B171,1
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A81,B18,A81-B18,2
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A81,B51,A81-B51,3
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A81,B8,A81-B8,29
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B4,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,TFMN4,exp2,ACN3788,concX_largeLib_SpeI,1,4,P,verABLib_large,A81,B84,A81-B84,1
