region,lineage,sample,transfer,copy_number
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.3,TFMN4.exp1.fbaMUT-tpiAMUT.3.T9.P,9,0.801
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.3,TFMN4.exp1.fbaMUT-tpiAMUT.3.T30.P,30,1.111
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.4,TFMN4.exp1.fbaMUT-tpiAMUT.4.T8.P,8,0.851
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.4,TFMN4.exp1.fbaMUT-tpiAMUT.4.T9.P,9,0.805
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.4,TFMN4.exp1.fbaMUT-tpiAMUT.4.T30.P,30,0.860
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.5,TFMN4.exp1.fbaMUT-tpiAMUT.5.T8.P,8,0.796
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.5,TFMN4.exp1.fbaMUT-tpiAMUT.5.T9.P,9,0.789
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.5,TFMN4.exp1.fbaMUT-tpiAMUT.5.T30.P,30,1.001
dgoA*,TFMN4.exp1.fbaMUT.1,TFMN4.exp1.fbaMUT.1.T8.P,8,1.230
dgoA*,TFMN4.exp1.fbaMUT.1,TFMN4.exp1.fbaMUT.1.T9.P,9,1.565
dgoA*,TFMN4.exp1.fbaMUT.1,TFMN4.exp1.fbaMUT.1.T30.P,30,4.143
dgoA*,TFMN4.exp1.fbaMUT.2,TFMN4.exp1.fbaMUT.2.T8.P,8,1.117
dgoA*,TFMN4.exp1.fbaMUT.2,TFMN4.exp1.fbaMUT.2.T9.P,9,1.561
dgoA*,TFMN4.exp1.fbaMUT.2,TFMN4.exp1.fbaMUT.2.T30.P,30,2.779
dgoA*,TFMN4.exp1.fbaMUT.3,TFMN4.exp1.fbaMUT.3.T8.P,8,1.083
dgoA*,TFMN4.exp1.fbaMUT.3,TFMN4.exp1.fbaMUT.3.T9.P,9,1.339
dgoA*,TFMN4.exp1.fbaMUT.3,TFMN4.exp1.fbaMUT.3.T30.P,30,1.331
dgoA*,TFMN4.exp1.fbaMUT.4,TFMN4.exp1.fbaMUT.4.T9.P,9,1.041
dgoA*,TFMN4.exp1.fbaMUT.4,TFMN4.exp1.fbaMUT.4.T30.P,30,1.046
dgoA*,TFMN4.exp1.fbaMUT.5,TFMN4.exp1.fbaMUT.5.T8.P,8,1.019
dgoA*,TFMN4.exp1.fbaMUT.5,TFMN4.exp1.fbaMUT.5.T30.P,30,4.675
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.1,TFMN4.exp1.fbaWT-tpiAWT.1.T8.P,8,1.378
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.1,TFMN4.exp1.fbaWT-tpiAWT.1.T9.P,9,1.662
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.1,TFMN4.exp1.fbaWT-tpiAWT.1.T30.P,30,4.772
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.2,TFMN4.exp1.fbaWT-tpiAWT.2.T8.P,8,0.878
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.2,TFMN4.exp1.fbaWT-tpiAWT.2.T9.P,9,1.783
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.2,TFMN4.exp1.fbaWT-tpiAWT.2.T30.P,30,5.031
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.3,TFMN4.exp1.fbaWT-tpiAWT.3.T8.P,8,1.212
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.3,TFMN4.exp1.fbaWT-tpiAWT.3.T9.P,9,1.188
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.3,TFMN4.exp1.fbaWT-tpiAWT.3.T30.P,30,1.068
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.4,TFMN4.exp1.fbaWT-tpiAWT.4.T9.P,9,1.538
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.4,TFMN4.exp1.fbaWT-tpiAWT.4.T30.P,30,3.466
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.5,TFMN4.exp1.fbaWT-tpiAWT.5.T9.P,9,2.091
dgoA*,TFMN4.exp1.fbaWT-tpiAWT.5,TFMN4.exp1.fbaWT-tpiAWT.5.T30.P,30,3.483
dgoA*,TFMN4.exp1.fbaWT.1,TFMN4.exp1.fbaWT.1.T8.P,8,0.954
dgoA*,TFMN4.exp1.fbaWT.1,TFMN4.exp1.fbaWT.1.T9.P,9,1.573
dgoA*,TFMN4.exp1.fbaWT.1,TFMN4.exp1.fbaWT.1.T30.P,30,4.588
dgoA*,TFMN4.exp1.fbaWT.2,TFMN4.exp1.fbaWT.2.T8.P,8,1.051
dgoA*,TFMN4.exp1.fbaWT.2,TFMN4.exp1.fbaWT.2.T9.P,9,1.509
dgoA*,TFMN4.exp1.fbaWT.2,TFMN4.exp1.fbaWT.2.T30.P,30,4.310
dgoA*,TFMN4.exp1.fbaWT.3,TFMN4.exp1.fbaWT.3.T8.P,8,1.021
dgoA*,TFMN4.exp1.fbaWT.3,TFMN4.exp1.fbaWT.3.T9.P,9,1.505
dgoA*,TFMN4.exp1.fbaWT.3,TFMN4.exp1.fbaWT.3.T30.P,30,1.867
dgoA*,TFMN4.exp1.fbaWT.4,TFMN4.exp1.fbaWT.4.T8.P,8,1.033
dgoA*,TFMN4.exp1.fbaWT.4,TFMN4.exp1.fbaWT.4.T9.P,9,1.315
dgoA*,TFMN4.exp1.fbaWT.4,TFMN4.exp1.fbaWT.4.T30.P,30,0.968
dgoA*,TFMN4.exp1.fbaWT.5,TFMN4.exp1.fbaWT.5.T8.P,8,1.101
dgoA*,TFMN4.exp1.fbaWT.5,TFMN4.exp1.fbaWT.5.T9.P,9,1.437
dgoA*,TFMN4.exp1.fbaWT.5,TFMN4.exp1.fbaWT.5.T30.P,30,3.948
dgoA*,TFMN4.exp1.noDNA.1,TFMN4.exp1.noDNA.1.T9.P,9,1.482
dgoA*,TFMN4.exp1.noDNA.1,TFMN4.exp1.noDNA.1.T30.P,30,3.863
dgoA*,TFMN4.exp1.noDNA.2,TFMN4.exp1.noDNA.2.T9.P,9,1.221
dgoA*,TFMN4.exp1.noDNA.2,TFMN4.exp1.noDNA.2.T30.P,30,2.047
dgoA*,TFMN4.exp1.noDNA.3,TFMN4.exp1.noDNA.3.T9.P,9,1.204
dgoA*,TFMN4.exp1.noDNA.3,TFMN4.exp1.noDNA.3.T30.P,30,2.489
dgoA*,TFMN4.exp1.noDNA.4,TFMN4.exp1.noDNA.4.T9.P,9,1.217
dgoA*,TFMN4.exp1.noDNA.4,TFMN4.exp1.noDNA.4.T30.P,30,4.974
dgoA*,TFMN4.exp1.noDNA.5,TFMN4.exp1.noDNA.5.T9.P,9,1.184
dgoA*,TFMN4.exp1.noDNA.5,TFMN4.exp1.noDNA.5.T30.P,30,2.585
dgoA*,TFMN4.exp1.tpiAMUT.1,TFMN4.exp1.tpiAMUT.1.T8.P,8,0.893
dgoA*,TFMN4.exp1.tpiAMUT.1,TFMN4.exp1.tpiAMUT.1.T9.P,9,1.049
dgoA*,TFMN4.exp1.tpiAMUT.1,TFMN4.exp1.tpiAMUT.1.T30.P,30,0.887
dgoA*,TFMN4.exp1.tpiAMUT.2,TFMN4.exp1.tpiAMUT.2.T8.P,8,0.724
dgoA*,TFMN4.exp1.tpiAMUT.2,TFMN4.exp1.tpiAMUT.2.T9.P,9,0.753
dgoA*,TFMN4.exp1.tpiAMUT.2,TFMN4.exp1.tpiAMUT.2.T30.P,30,0.902
dgoA*,TFMN4.exp1.tpiAMUT.3,TFMN4.exp1.tpiAMUT.3.T8.P,8,0.823
dgoA*,TFMN4.exp1.tpiAMUT.3,TFMN4.exp1.tpiAMUT.3.T9.P,9,0.776
dgoA*,TFMN4.exp1.tpiAMUT.3,TFMN4.exp1.tpiAMUT.3.T30.P,30,0.969
dgoA*,TFMN4.exp1.tpiAMUT.4,TFMN4.exp1.tpiAMUT.4.T8.P,8,0.830
dgoA*,TFMN4.exp1.tpiAMUT.4,TFMN4.exp1.tpiAMUT.4.T9.P,9,0.853
dgoA*,TFMN4.exp1.tpiAMUT.4,TFMN4.exp1.tpiAMUT.4.T30.P,30,0.839
dgoA*,TFMN4.exp1.tpiAMUT.5,TFMN4.exp1.tpiAMUT.5.T8.P,8,0.839
dgoA*,TFMN4.exp1.tpiAMUT.5,TFMN4.exp1.tpiAMUT.5.T9.P,9,0.909
dgoA*,TFMN4.exp1.tpiAMUT.5,TFMN4.exp1.tpiAMUT.5.T30.P,30,0.946
dgoA*,TFMN4.exp1.tpiAWT.1,TFMN4.exp1.tpiAWT.1.T8.P,8,0.955
dgoA*,TFMN4.exp1.tpiAWT.1,TFMN4.exp1.tpiAWT.1.T9.P,9,1.423
dgoA*,TFMN4.exp1.tpiAWT.1,TFMN4.exp1.tpiAWT.1.T30.P,30,4.144
dgoA*,TFMN4.exp1.tpiAWT.2,TFMN4.exp1.tpiAWT.2.T8.P,8,1.104
dgoA*,TFMN4.exp1.tpiAWT.2,TFMN4.exp1.tpiAWT.2.T9.P,9,1.441
dgoA*,TFMN4.exp1.tpiAWT.2,TFMN4.exp1.tpiAWT.2.T30.P,30,3.364
dgoA*,TFMN4.exp1.tpiAWT.3,TFMN4.exp1.tpiAWT.3.T8.P,8,0.889
dgoA*,TFMN4.exp1.tpiAWT.3,TFMN4.exp1.tpiAWT.3.T9.P,9,1.407
dgoA*,TFMN4.exp1.tpiAWT.3,TFMN4.exp1.tpiAWT.3.T30.P,30,1.172
dgoA*,TFMN4.exp1.tpiAWT.4,TFMN4.exp1.tpiAWT.4.T8.P,8,1.045
dgoA*,TFMN4.exp1.tpiAWT.4,TFMN4.exp1.tpiAWT.4.T9.P,9,1.713
dgoA*,TFMN4.exp1.tpiAWT.4,TFMN4.exp1.tpiAWT.4.T30.P,30,4.171
dgoA*,TFMN4.exp1.tpiAWT.5,TFMN4.exp1.tpiAWT.5.T8.P,8,1.119
dgoA*,TFMN4.exp1.tpiAWT.5,TFMN4.exp1.tpiAWT.5.T9.P,9,1.556
dgoA*,TFMN4.exp1.tpiAWT.5,TFMN4.exp1.tpiAWT.5.T30.P,30,2.096
