Candidate,verA,verB,r_counts_only_per_h,se_counts_only
A186-B74,A186,B74,0.2864,0.0832
A153-B171,A153,B171,0.2864,0.0832
A90-B61,A90,B61,0.2864,0.0832
A186-B151,A186,B151,0.2864,0.0832
A176-B34,A176,B34,0.2864,0.0832
A81-B59,A81,B59,0.2864,0.0832
A66-B30,A66,B30,0.2864,0.0832
A176-B59,A176,B59,0.2843,0.0545
A81-B11,A81,B11,0.2843,0.0545
A152-B27,A152,B27,0.2843,0.0545
A20-B101,A20,B101,0.2843,0.0545
A152-B154,A152,B154,0.2838,0.0167
A196-B171,A196,B171,0.2836,0.0127
A83-B50,A83,B50,0.2814,0.0253
A153-B55,A153,B55,0.2813,0.0404
A162-B137,A162,B137,0.2813,0.0404
A20-B70,A20,B70,0.2812,0.0351
A81-B61,A81,B61,0.2808,0.0221
A81-B41,A81,B41,0.2806,0.0352
A196-B27,A196,B27,0.2794,0.0176
A83-B70,A83,B70,0.2793,0.0373
A78-B42,A78,B42,0.2792,0.0527
A196-B34,A196,B34,0.2792,0.0527
A153-B101,A153,B101,0.2785,0.046
A196-B75,A196,B75,0.2782,0.0209
A12-B60,A12,B60,0.278,0.0469
A16-B65,A16,B65,0.278,0.0469
A193-B11,A193,B11,0.278,0.0585
A81-B140,A81,B140,0.2778,0.0314
A196-B38,A196,B38,0.2775,0.0099
A196-B11,A196,B11,0.2766,0.0095
A196-B85,A196,B85,0.2759,0.0299
A186-B2,A186,B2,0.2751,0.0433
A16-B79,A16,B79,0.2747,0.0421
A196-B119,A196,B119,0.2744,0.012
A81-B65,A81,B65,0.2741,0.034
A196-B132,A196,B132,0.2731,0.0236
A81-B66,A81,B66,0.2729,0.0317
A176-B6,A176,B6,0.2727,0.0468
A196-B9,A196,B9,0.2725,0.0261
A63-B171,A63,B171,0.2724,0.0505
A96-B75,A96,B75,0.272,0.0352
A96-B87,A96,B87,0.2717,0.0231
A83-B18,A83,B18,0.2709,0.0509
A153-B117,A153,B117,0.2709,0.0509
A196-B52,A196,B52,0.2708,0.0144
A81-B145,A81,B145,0.2699,0.0141
A81-B27,A81,B27,0.2693,0.0439
A143-B117,A143,B117,0.2687,0.036
A96-B77,A96,B77,0.2684,0.0718
A186-B117,A186,B117,0.2684,0.0277
A90-B155,A90,B155,0.2682,0.0335
A90-B136,A90,B136,0.2659,0.0631
A143-B137,A143,B137,0.2656,0.0174
A78-B101,A78,B101,0.2647,0.0201
A153-B26,A153,B26,0.2646,0.044
A20-B6,A20,B6,0.264,0.0107
A176-B101,A176,B101,0.2639,0.0637
A152-B171,A152,B171,0.2639,0.0637
A196-B46,A196,B46,0.2637,0.021
A81-B3,A81,B3,0.2632,0.0711
A20-B60,A20,B60,0.2632,0.0711
A78-B150,A78,B150,0.2632,0.0711
A90-B47,A90,B47,0.2624,0.0332
A196-B103,A196,B103,0.2619,0.0416
A81-B18,A81,B18,0.2611,0.0391
A90-B59,A90,B59,0.2611,0.0372
A20-B126,A20,B126,0.2606,0.0166
A186-B145,A186,B145,0.2599,0.0512
A176-B138,A176,B138,0.2599,0.0512
A90-B38,A90,B38,0.2599,0.0512
A16-B140,A16,B140,0.2591,0.0359
A90-B151,A90,B151,0.2587,0.0437
A20-B84,A20,B84,0.2579,0.0152
A81-B91,A81,B91,0.2574,0.0443
A81-B87,A81,B87,0.2573,0.0189
A90-B120,A90,B120,0.2572,0.0388
A196-B70,A196,B70,0.257,0.0447
A196-B123,A196,B123,0.2569,0.0134
A81-B38,A81,B38,0.2567,0.0718
A196-B15,A196,B15,0.2541,0.019
A90-B171,A90,B171,0.2528,0.0491
A81-B127,A81,B127,0.2521,0.026
A196-B84,A196,B84,0.2521,0.0114
A91-B101,A91,B101,0.251,0.0743
A78-B158,A78,B158,0.251,0.0743
A65-B161,A65,B161,0.251,0.0743
A160-B27,A160,B27,0.251,0.0743
A20-B144,A20,B144,0.251,0.0743
A78-B70,A78,B70,0.2506,0.041
A96-B12,A96,B12,0.2505,0.0684
A20-B34,A20,B34,0.2505,0.0684
A196-B93,A196,B93,0.2505,0.0684
A63-B147,A63,B147,0.25,0.0532
A78-B143,A78,B143,0.2488,0.0748
A16-B101,A16,B101,0.2488,0.0748
A16-B12,A16,B12,0.2488,0.0748
A186-B137,A186,B137,0.2488,0.0748
A196-B165,A196,B165,0.2488,0.0748
A152-B9,A152,B9,0.2488,0.0748
A78-B75,A78,B75,0.2483,0.0214
A176-B27,A176,B27,0.2477,0.0435
A16-B117,A16,B117,0.2462,0.025
A196-B174,A196,B174,0.2461,0.034
A96-B140,A96,B140,0.2457,0.043
A63-B117,A63,B117,0.2457,0.0339
A78-B51,A78,B51,0.2444,0.0688
A20-B103,A20,B103,0.2444,0.0688
A82-B108,A82,B108,0.2431,0.069
A16-B51,A16,B51,0.2428,0.04
A186-B147,A186,B147,0.2424,0.0487
A78-B103,A78,B103,0.2408,0.0667
A196-B30,A196,B30,0.2408,0.0667
A96-B79,A96,B79,0.2407,0.0222
A81-B42,A81,B42,0.2407,0.0699
A176-B103,A176,B103,0.2401,0.0544
A152-B47,A152,B47,0.24,0.0366
A153-B27,A153,B27,0.2395,0.069
A89-B27,A89,B27,0.2395,0.069
A169-B27,A169,B27,0.2395,0.069
A186-B75,A186,B75,0.2394,0.0738
A16-B145,A16,B145,0.2387,0.0234
A196-B152,A196,B152,0.2368,0.0551
A143-B6,A143,B6,0.2294,0.0488
A90-B99,A90,B99,0.2284,0.0721
A63-B103,A63,B103,0.2279,0.0653
A186-B63,A186,B63,0.2279,0.0653
A78-B130,A78,B130,0.2279,0.0653
A152-B110,A152,B110,0.2249,0.0642
A81-B123,A81,B123,0.2236,0.0315
A159-B69,A159,B69,0.2228,0.065
A16-B3,A16,B3,0.2228,0.065
A186-B13,A186,B13,0.2228,0.065
A81-B100,A81,B100,0.2219,0.0382
A143-B123,A143,B123,0.2208,0.0565
A152-B102,A152,B102,0.2206,0.0702
A63-B79,A63,B79,0.2202,0.0355
A90-B2,A90,B2,0.2201,0.0701
A16-B161,A16,B161,0.2201,0.0701
A83-B130,A83,B130,0.218,0.0709
A16-B75,A16,B75,0.218,0.0709
A78-B155,A78,B155,0.218,0.0709
A63-B2,A63,B2,0.218,0.0709
A96-B101,A96,B101,0.218,0.0709
A143-B130,A143,B130,0.218,0.0709
A176-B151,A176,B151,0.2171,0.0506
A196-B98,A196,B98,0.2161,0.0473
A81-B143,A81,B143,0.2142,0.0662
A81-B156,A81,B156,0.2142,0.0662
A196-B150,A196,B150,0.2136,0.0349
A196-B122,A196,B122,0.2124,0.0626
A143-B13,A143,B13,0.2113,0.0484
A63-B75,A63,B75,0.2083,0.0495
A83-B103,A83,B103,0.2082,0.0651
A186-B84,A186,B84,0.2078,0.0541
A81-B165,A81,B165,0.2069,0.0611
A81-B75,A81,B75,0.2065,0.0263
A81-B171,A81,B171,0.204,0.0513
A90-B117,A90,B117,0.2031,0.0628
A20-B165,A20,B165,0.2004,0.0535
A186-B165,A186,B165,0.199,0.0488
A152-B32,A152,B32,0.1981,0.0601
A20-B157,A20,B157,0.198,0.0677
A20-B13,A20,B13,0.1972,0.0628
A90-B52,A90,B52,0.1972,0.0628
A152-B15,A152,B15,0.1948,0.0684
A81-B70,A81,B70,0.1948,0.0684
A90-B11,A90,B11,0.1948,0.0684
A81-B40,A81,B40,0.194,0.047
A78-B84,A78,B84,0.1928,0.0426
A152-B151,A152,B151,0.1898,0.0362
A153-B151,A153,B151,0.1897,0.0526
A78-B18,A78,B18,0.1895,0.0563
A16-B4,A16,B4,0.1876,0.0614
A90-B154,A90,B154,0.1859,0.0628
A153-B84,A153,B84,0.1853,0.0544
A63-B151,A63,B151,0.17,0.0394
A186-B70,A186,B70,0.1581,0.0595
A78-B171,A78,B171,0.1369,0.0389
