Candidate,verA,verB,r_counts_only_per_h,se_counts_only,r_joint_per_h,se_joint,r_ampl_only,se_ampl_only,evidence_tier,in_B4,dr_joint_minus_counts,se_ratio_counts_over_joint
A83-B138,A83,B138,0.3377,0.0115,0.3303,0.0113,,,WGS-only,False,-0.0074,1.018
A196-B93,A196,B93,0.2505,0.0684,0.2476,0.0672,,,WGS-only,False,-0.0029,1.018
A96-B12,A96,B12,0.2505,0.0684,0.2476,0.0672,,,WGS-only,False,-0.0029,1.018
A20-B34,A20,B34,0.2505,0.0684,0.2476,0.0672,,,WGS-only,False,-0.0029,1.018
A90-B6,A90,B6,0.312,0.0172,0.3049,0.0169,,,WGS-only,False,-0.0071,1.018
A153-B77,A153,B77,0.3418,0.0061,0.3433,0.006,,,WGS-only,False,0.0015,1.017
A83-B40,A83,B40,0.3428,0.006,0.3445,0.0059,,,WGS-only,False,0.0017,1.017
A16-B154,A16,B154,0.3105,0.018,0.307,0.0177,,,WGS-only,False,-0.0035,1.017
A90-B102,A90,B102,0.2955,0.0605,0.2948,0.0595,,,WGS-only,False,-0.0007,1.017
A78-B30,A78,B30,0.3749,0.0063,0.3805,0.0062,,,WGS-only,False,0.0056,1.016
A186-B26,A186,B26,0.3087,0.0131,0.3015,0.0129,,,WGS-only,False,-0.0072,1.016
A81-B91,A81,B91,0.2574,0.0443,0.2522,0.0436,,,WGS-only,False,-0.0052,1.016
A81-B117,A81,B117,0.3315,0.0129,0.3246,0.0127,,,WGS-only,False,-0.0069,1.016
A96-B132,A96,B132,0.3097,0.026,0.3068,0.0256,,,WGS-only,False,-0.0029,1.016
A90-B123,A90,B123,0.3284,0.0197,0.3265,0.0194,,,WGS-only,False,-0.0019,1.015
A81-B2,A81,B2,0.3172,0.0067,0.318,0.0066,,,WGS-only,False,0.0008,1.015
A176-B6,A176,B6,0.2727,0.0468,0.2727,0.0461,,,WGS-only,False,0.0,1.015
A186-B147,A186,B147,0.2424,0.0487,0.2377,0.048,,,WGS-only,False,-0.0047,1.015
A81-B41,A81,B41,0.2806,0.0352,0.2799,0.0347,,,WGS-only,False,-0.0007,1.014
A186-B13,A186,B13,0.2228,0.065,0.2197,0.0641,,,WGS-only,False,-0.0031,1.014
A159-B69,A159,B69,0.2228,0.065,0.2197,0.0641,,,WGS-only,False,-0.0031,1.014
A78-B79,A78,B79,0.4184,0.0074,0.4241,0.0073,,,WGS-only,False,0.0057,1.014
A83-B18,A83,B18,0.2709,0.0509,0.271,0.0502,,,WGS-only,False,0.0001,1.014
A78-B159,A78,B159,0.3189,0.0221,0.3119,0.0218,,,WGS-only,False,-0.007,1.014
A153-B117,A153,B117,0.2709,0.0509,0.271,0.0502,,,WGS-only,False,0.0001,1.014
A78-B75,A78,B75,0.2483,0.0214,0.2499,0.0211,,,WGS-only,False,0.0016,1.014
A16-B3,A16,B3,0.2228,0.065,0.2197,0.0641,,,WGS-only,False,-0.0031,1.014
A196-B152,A196,B152,0.2368,0.0551,0.2327,0.0544,,,WGS-only,False,-0.0041,1.013
A16-B51,A16,B51,0.2428,0.04,0.2435,0.0395,,,WGS-only,False,0.0007,1.013
A90-B117,A90,B117,0.2031,0.0628,0.1998,0.062,,,WGS-only,False,-0.0033,1.013
A16-B4,A16,B4,0.1876,0.0614,0.1842,0.0606,,,WGS-only,False,-0.0034,1.013
A196-B174,A196,B174,0.2461,0.034,0.2467,0.0336,,,WGS-only,False,0.0006,1.012
A196-B145,A196,B145,0.3147,0.0164,0.3143,0.0162,,,WGS-only,False,-0.0004,1.012
A196-B103,A196,B103,0.2619,0.0416,0.2622,0.0411,,,WGS-only,False,0.0003,1.012
A83-B120,A83,B120,0.3064,0.0346,0.3063,0.0342,,,WGS-only,False,-0.0001,1.012
A196-B70,A196,B70,0.257,0.0447,0.2573,0.0442,,,WGS-only,False,0.0003,1.011
A196-B38,A196,B38,0.2775,0.0099,0.2783,0.0098,,,WGS-only,False,0.0008,1.01
A153-B137,A153,B137,0.3053,0.0097,0.3047,0.0096,,,WGS-only,False,-0.0006,1.01
A20-B151,A20,B151,0.3344,0.0106,0.3333,0.0105,,,WGS-only,False,-0.0011,1.01
A185-B26,A185,B26,0.3402,0.0098,0.3397,0.0097,,,WGS-only,False,-0.0005,1.01
A81-B165,A81,B165,0.2069,0.0611,0.2046,0.0605,,,WGS-only,False,-0.0023,1.01
A176-B151,A176,B151,0.2171,0.0506,0.2204,0.0501,,,WGS-only,False,0.0033,1.01
A83-B42,A83,B42,0.4497,0.01,0.4527,0.0099,,,WGS-only,False,0.003,1.01
A20-B6,A20,B6,0.264,0.0107,0.2648,0.0106,,,WGS-only,False,0.0008,1.009
A90-B108,A90,B108,0.36,0.0109,0.359,0.0108,,,WGS-only,False,-0.001,1.009
A196-B84,A196,B84,0.2521,0.0114,0.2528,0.0113,,,WGS-only,False,0.0007,1.009
A96-B26,A96,B26,0.3393,0.0122,0.336,0.0121,,,WGS-only,False,-0.0033,1.008
A81-B100,A81,B100,0.2219,0.0382,0.2242,0.0379,,,WGS-only,False,0.0023,1.008
A143-B6,A143,B6,0.2294,0.0488,0.232,0.0484,,,WGS-only,False,0.0026,1.008
A152-B171,A152,B171,0.2639,0.0637,0.2642,0.0632,,,WGS-only,False,0.0003,1.008
A78-B47,A78,B47,0.308,0.0247,0.3035,0.0245,,,WGS-only,False,-0.0045,1.008
A16-B117,A16,B117,0.2462,0.025,0.2439,0.0248,,,WGS-only,False,-0.0023,1.008
A196-B119,A196,B119,0.2744,0.012,0.2752,0.0119,,,WGS-only,False,0.0008,1.008
A83-B101,A83,B101,0.3261,0.014,0.327,0.0139,,,WGS-only,False,0.0009,1.007
A81-B137,A81,B137,0.3144,0.0139,0.307,0.0138,0.2663,0.0814,both-deep,True,-0.0074,1.007
A20-B95,A20,B95,0.3305,0.016,0.33,0.0159,,,WGS-only,False,-0.0005,1.006
A196-B98,A196,B98,0.2161,0.0473,0.2171,0.047,,,WGS-only,False,0.001,1.006
A152-B154,A152,B154,0.2838,0.0167,0.2833,0.0166,,,WGS-only,False,-0.0005,1.006
A81-B101,A81,B101,0.2961,0.017,0.2956,0.0169,,,WGS-only,False,-0.0005,1.006
A63-B40,A63,B40,0.3168,0.0171,0.3163,0.017,,,WGS-only,False,-0.0005,1.006
A63-B18,A63,B18,0.2939,0.0337,0.2931,0.0335,,,WGS-only,False,-0.0008,1.006
A81-B38,A81,B38,0.2567,0.0718,0.2568,0.0714,,,WGS-only,False,0.0001,1.006
A78-B101,A78,B101,0.2647,0.0201,0.2654,0.02,,,WGS-only,False,0.0007,1.005
A152-B32,A152,B32,0.1981,0.0601,0.1992,0.0598,,,WGS-only,False,0.0011,1.005
A81-B61,A81,B61,0.2808,0.0221,0.2803,0.022,,,WGS-only,False,-0.0005,1.005
A186-B165,A186,B165,0.199,0.0488,0.1982,0.0486,,,WGS-only,False,-0.0008,1.004
A16-B145,A16,B145,0.2387,0.0234,0.2393,0.0233,,,WGS-only,False,0.0006,1.004
A78-B51,A78,B51,0.2444,0.0688,0.246,0.0685,,,WGS-only,False,0.0016,1.004
A20-B103,A20,B103,0.2444,0.0688,0.246,0.0685,,,WGS-only,False,0.0016,1.004
A143-B123,A143,B123,0.2208,0.0565,0.2228,0.0563,,,WGS-only,False,0.002,1.004
A90-B150,A90,B150,0.3442,0.0246,0.3439,0.0245,,,WGS-only,False,-0.0003,1.004
A96-B3,A96,B3,0.3518,0.026,0.3512,0.0259,,,WGS-only,False,-0.0006,1.004
A83-B104,A83,B104,0.3518,0.026,0.3512,0.0259,,,WGS-only,False,-0.0006,1.004
A28-B151,A28,B151,0.3028,0.0526,0.3019,0.0524,,,WGS-only,False,-0.0009,1.004
A81-B130,A81,B130,0.3265,0.0264,0.3269,0.0263,,,WGS-only,False,0.0004,1.004
A153-B151,A153,B151,0.1897,0.0526,0.1923,0.0524,,,WGS-only,False,0.0026,1.004
A32-B151,A32,B151,0.3028,0.0526,0.3019,0.0524,,,WGS-only,False,-0.0009,1.004
A81-B156,A81,B156,0.2142,0.0662,0.2167,0.066,,,WGS-only,False,0.0025,1.003
A63-B2,A63,B2,0.218,0.0709,0.2187,0.0707,,,WGS-only,False,0.0007,1.003
A83-B130,A83,B130,0.218,0.0709,0.2187,0.0707,,,WGS-only,False,0.0007,1.003
A16-B75,A16,B75,0.218,0.0709,0.2187,0.0707,,,WGS-only,False,0.0007,1.003
A81-B143,A81,B143,0.2142,0.0662,0.2167,0.066,,,WGS-only,False,0.0025,1.003
A16-B12,A16,B12,0.2488,0.0748,0.2492,0.0746,,,WGS-only,False,0.0004,1.003
A78-B143,A78,B143,0.2488,0.0748,0.2492,0.0746,,,WGS-only,False,0.0004,1.003
A96-B101,A96,B101,0.218,0.0709,0.2187,0.0707,,,WGS-only,False,0.0007,1.003
A16-B101,A16,B101,0.2488,0.0748,0.2492,0.0746,,,WGS-only,False,0.0004,1.003
A196-B165,A196,B165,0.2488,0.0748,0.2492,0.0746,,,WGS-only,False,0.0004,1.003
A152-B15,A152,B15,0.1948,0.0684,0.1958,0.0682,,,WGS-only,False,0.001,1.003
A81-B70,A81,B70,0.1948,0.0684,0.1958,0.0682,,,WGS-only,False,0.001,1.003
A83-B70,A83,B70,0.2793,0.0373,0.2788,0.0372,,,WGS-only,False,-0.0005,1.003
A90-B11,A90,B11,0.1948,0.0684,0.1958,0.0682,,,WGS-only,False,0.001,1.003
A186-B137,A186,B137,0.2488,0.0748,0.2492,0.0746,,,WGS-only,False,0.0004,1.003
A96-B77,A96,B77,0.2684,0.0718,0.2677,0.0716,,,WGS-only,False,-0.0007,1.003
A176-B177,A176,B177,0.2901,0.0516,0.2897,0.0515,,,WGS-only,False,-0.0004,1.002
A153-B55,A153,B55,0.2813,0.0404,0.2808,0.0403,,,WGS-only,False,-0.0005,1.002
A153-B26,A153,B26,0.2646,0.044,0.2656,0.0439,,,WGS-only,False,0.001,1.002
A153-B84,A153,B84,0.1853,0.0544,0.1877,0.0543,,,WGS-only,False,0.0024,1.002
A83-B103,A83,B103,0.2082,0.0651,0.2101,0.065,,,WGS-only,False,0.0019,1.002
A78-B18,A78,B18,0.1895,0.0563,0.1914,0.0562,,,WGS-only,False,0.0019,1.002
A82-B108,A82,B108,0.2431,0.069,0.2425,0.0689,,,WGS-only,False,-0.0006,1.001
A89-B27,A89,B27,0.2395,0.069,0.2411,0.0689,,,WGS-only,False,0.0016,1.001
A169-B27,A169,B27,0.2395,0.069,0.2411,0.0689,,,WGS-only,False,0.0016,1.001
A153-B27,A153,B27,0.2395,0.069,0.2411,0.0689,,,WGS-only,False,0.0016,1.001
A84-B174,A84,B174,0.3574,0.0264,0.3556,0.0264,,,WGS-only,False,-0.0018,1.0
A196-B55,A196,B55,0.3539,0.026,0.3472,0.026,,,WGS-only,False,-0.0067,1.0
A83-B134,A83,B134,0.3539,0.026,0.3472,0.026,,,WGS-only,False,-0.0067,1.0
A83-B6,A83,B6,0.3539,0.026,0.3472,0.026,,,WGS-only,False,-0.0067,1.0
A89-B174,A89,B174,0.3574,0.0264,0.3556,0.0264,,,WGS-only,False,-0.0018,1.0
A97-B6,A97,B6,0.3749,0.0258,0.3722,0.0258,,,WGS-only,False,-0.0027,1.0
A81-B87,A81,B87,0.2573,0.0189,0.2579,0.0189,,,WGS-only,False,0.0006,1.0
A196-B52,A196,B52,0.2708,0.0144,0.2691,0.0144,,,WGS-only,False,-0.0017,1.0
A143-B13,A143,B13,0.2113,0.0484,0.2116,0.0484,,,WGS-only,False,0.0003,1.0
A97-B155,A97,B155,0.3457,0.0262,0.3451,0.0262,,,WGS-only,False,-0.0006,1.0
A196-B46,A196,B46,0.2637,0.021,0.2643,0.021,,,WGS-only,False,0.0006,1.0
A143-B137,A143,B137,0.2656,0.0174,0.2663,0.0174,,,WGS-only,False,0.0007,1.0
A186-B117,A186,B117,0.2684,0.0277,0.269,0.0277,,,WGS-only,False,0.0006,1.0
A81-B145,A81,B145,0.2699,0.0141,0.2708,0.0141,,,WGS-only,False,0.0009,1.0
A16-B161,A16,B161,0.2201,0.0701,0.2197,0.0701,,,WGS-only,False,-0.0004,1.0
A90-B2,A90,B2,0.2201,0.0701,0.2197,0.0701,,,WGS-only,False,-0.0004,1.0
