Candidate,verA,verB,r_joint_per_h,se_joint,se_wgs_only,se_ampl_only,se_reduction_ratio,ESS_fold_vs_wgs,r_wgs_only,r_ampl_only,evidence_tier,in_B4,se_heterogeneity_loso,r_sensitivity_to_b_amp,se_combined
A143-B84,A143,B84,0.3662,0.0046,0.0096,0.0088,1.912,4.35,0.3389,0.3899,both-deep,True,0.0039,0.0039,0.006
A186-B79,A186,B79,0.4225,0.0049,0.0095,0.009,1.85,3.8,0.3596,0.4482,both-deep,True,0.0042,0.0022,0.0065
A81-B132,A81,B132,0.3516,0.005,0.0121,0.0091,1.806,5.79,0.318,0.3767,both-deep,True,0.0036,0.0022,0.0062
A78-B77,A78,B77,0.3152,0.0053,0.0106,0.0092,1.758,4.11,0.3288,0.3363,both-deep,True,0.0037,0.0057,0.0065
A81-B12,A81,B12,0.3445,0.0125,0.0214,0.0413,1.711,2.93,0.386,0.3222,both-deep,True,0.0133,0.0068,0.0183
A78-B151,A78,B151,0.3277,0.0056,0.0177,0.0094,1.69,10.11,0.3011,0.351,both-deep,True,0.0039,0.0064,0.0068
A196-B117,A196,B117,0.3096,0.0059,0.0133,0.0097,1.65,5.17,0.3105,0.3305,both-deep,True,0.0037,0.0079,0.007
A81-B8,A81,B8,0.379,0.0046,0.0071,0.0088,1.534,2.35,0.3736,0.4025,both-deep,True,0.0039,0.0039,0.006
A196-B59,A196,B59,0.3099,0.0068,0.021,0.0102,1.514,9.61,0.3165,0.332,both-deep,True,0.0038,0.0078,0.0078
A186-B78,A186,B78,0.3714,0.0144,0.0217,0.0241,1.514,2.29,0.3468,0.4073,both-deep,True,0.0058,0.1037,0.0155
A196-B171,A196,B171,0.2931,0.0081,0.0127,0.0122,1.509,2.47,0.2836,0.3253,both-deep,True,0.0023,0.0247,0.0084
A152-B100,A152,B100,0.3432,0.0069,,0.0102,1.471,,,0.3669,amplicon-B4-only,True,0.0039,0.0132,0.0079
A81-B3,A81,B3,0.369,0.0076,0.0711,0.0107,1.412,88.28,0.2632,0.3937,both-deep,True,0.004,0.0056,0.0086
A196-B27,A196,B27,0.2785,0.0094,0.0176,0.013,1.387,3.51,0.2794,0.3012,both-deep,True,0.003,0.029,0.0099
A196-B15,A196,B15,0.2511,0.0138,0.019,0.02,1.384,1.92,0.2541,0.2722,both-deep,True,0.0055,0.0578,0.0149
A81-B75,A81,B75,0.2448,0.0173,0.0263,0.0237,1.369,2.3,0.2065,0.3038,both-deep,True,0.0074,0.0532,0.0188
A196-B87,A196,B87,0.3064,0.0053,0.0069,0.0096,1.306,1.7,0.3133,0.3285,both-deep,True,0.0035,0.0137,0.0064
A96-B140,A96,B140,0.2643,0.0332,0.043,0.0447,1.297,1.68,0.2457,0.321,both-deep,True,0.0114,0.0458,0.0351
A152-B151,A152,B151,0.2097,0.0226,0.0362,0.0288,1.276,2.56,0.1898,0.2538,both-deep,True,0.0031,0.0964,0.0228
A90-B154,A90,B154,0.1907,0.0497,0.0628,0.0606,1.221,1.6,0.1859,0.2538,both-deep,True,0.0153,0.0901,0.052
A65-B8,A65,B8,0.3761,0.0109,,0.0132,1.209,,,0.3993,amplicon-B4-only,True,0.0038,0.0214,0.0115
A78-B70,A78,B70,0.2525,0.0296,0.041,0.035,1.183,1.92,0.2506,0.2735,both-deep,True,0.0029,0.0325,0.0297
A196-B123,A196,B123,0.27,0.0114,0.0134,0.0167,1.178,1.39,0.2569,0.347,both-deep,True,0.0129,0.0402,0.0172
A78-B84,A78,B84,0.2894,0.0113,0.0426,0.0133,1.178,14.17,0.1928,0.3213,both-deep,True,0.0045,0.0245,0.0122
A78-B73,A78,B73,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A132-B87,A132,B87,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A143-B100,A143,B100,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A193-B77,A193,B77,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A93-B40,A93,B40,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A196-B39,A196,B39,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A176-B65,A176,B65,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A78-B80,A78,B80,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A151-B19,A151,B19,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A82-B8,A82,B8,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A68-B87,A68,B87,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A78-B89,A78,B89,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A176-B104,A176,B104,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A78-B68,A78,B68,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A78-B65,A78,B65,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A143-B148,A143,B148,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A145-B8,A145,B8,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A81-B136,A81,B136,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A1-B87,A1,B87,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A81-B16,A81,B16,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A153-B6,A153,B6,0.3288,0.0057,0.0067,0.0146,1.175,1.38,0.343,0.3239,both-deep,True,0.0124,0.0112,0.0136
A93-B8,A93,B8,0.3751,0.0122,,0.0143,1.167,,,0.3982,amplicon-B4-only,True,0.0038,0.0238,0.0128
A196-B8,A196,B8,0.3115,0.0177,0.0495,0.0205,1.16,7.83,0.2957,0.3327,both-deep,True,0.0037,0.0,0.0181
A138-B79,A138,B79,0.3816,0.0223,0.0257,,1.156,1.34,0.377,,WGS-only,False,0.0035,0.1937,0.0226
A196-B2,A196,B2,0.3107,0.0072,0.0083,0.0162,1.153,1.33,0.3219,0.313,both-deep,True,0.0037,0.0233,0.0081
A81-B27,A81,B27,0.293,0.0155,0.0439,0.0178,1.151,8.06,0.2693,0.3154,both-deep,True,0.004,0.0354,0.016
A81-B40,A81,B40,0.247,0.0248,0.047,0.0285,1.15,3.58,0.194,0.2951,both-deep,True,0.0069,0.0558,0.0257
A90-B120,A90,B120,0.2668,0.0203,0.0388,0.0233,1.149,3.67,0.2572,0.2883,both-deep,True,0.0047,0.0478,0.0208
A81-B18,A81,B18,0.2552,0.0208,0.0391,0.0239,1.148,3.52,0.2611,0.2746,both-deep,True,0.0033,0.0676,0.0211
A78-B109,A78,B109,0.3211,0.0467,,0.0535,1.146,,,0.3379,amplicon-B4-only,True,0.003,0.0541,0.0468
A63-B75,A63,B75,0.225,0.0432,0.0495,0.0591,1.145,1.31,0.2083,0.325,both-deep,True,0.0071,0.0409,0.0438
A83-B50,A83,B50,0.3217,0.0116,0.0253,0.0132,1.143,4.78,0.2814,0.3606,both-deep,True,0.0034,0.0181,0.0121
A90-B151,A90,B151,0.2948,0.0154,0.0437,0.0176,1.142,8.06,0.2587,0.3184,both-deep,True,0.0041,0.0325,0.0159
A90-B103,A90,B103,0.3159,0.0338,0.0386,0.0705,1.142,1.3,0.3141,0.3364,both-deep,True,0.0032,0.0557,0.034
A143-B130,A143,B130,0.2455,0.0618,0.0709,0.0705,1.142,1.32,0.218,0.3364,both-deep,True,0.0238,0.0116,0.0662
A196-B139,A196,B139,0.3159,0.0338,0.0386,0.0705,1.142,1.3,0.3141,0.3364,both-deep,True,0.0032,0.0557,0.034
A176-B131,A176,B131,0.3322,0.0422,,0.048,1.137,,,0.3502,amplicon-B4-only,True,0.0031,0.077,0.0423
A196-B107,A196,B107,0.3322,0.0422,,0.048,1.137,,,0.3502,amplicon-B4-only,True,0.0031,0.077,0.0423
A176-B119,A176,B119,0.3322,0.0422,,0.048,1.137,,,0.3502,amplicon-B4-only,True,0.0031,0.077,0.0423
A96-B87,A96,B87,0.2773,0.0203,0.0231,0.0413,1.137,1.29,0.2717,0.3222,both-deep,True,0.0077,0.023,0.0217
A143-B93,A143,B93,0.3322,0.0422,,0.048,1.137,,,0.3502,amplicon-B4-only,True,0.0031,0.077,0.0423
A4-B87,A4,B87,0.3098,0.0521,,0.0591,1.135,,,0.325,amplicon-B4-only,True,0.0028,0.0352,0.0522
A90-B84,A90,B84,0.3098,0.0521,,0.0591,1.135,,,0.325,amplicon-B4-only,True,0.0028,0.0352,0.0522
A196-B75,A196,B75,0.2793,0.0185,0.0209,0.0383,1.133,1.28,0.2782,0.3351,both-deep,True,0.0034,0.037,0.0188
A78-B137,A78,B137,0.2938,0.0063,0.0071,0.0114,1.132,1.28,0.3245,0.2878,both-deep,True,0.0115,0.0235,0.0131
A79-B77,A79,B77,0.3494,0.034,0.0385,,1.131,1.28,0.3352,,WGS-only,False,0.0032,0.1984,0.0342
A63-B145,A63,B145,0.3494,0.034,0.0385,,1.131,1.28,0.3352,,WGS-only,False,0.0032,0.1984,0.0342
A63-B84,A63,B84,0.3086,0.0643,,0.0727,1.13,,,0.3191,amplicon-B4-only,True,0.002,0.0693,0.0643
A4-B117,A4,B117,0.3086,0.0643,,0.0727,1.13,,,0.3191,amplicon-B4-only,True,0.002,0.0693,0.0643
A77-B8,A77,B8,0.3086,0.0643,,0.0727,1.13,,,0.3191,amplicon-B4-only,True,0.002,0.0693,0.0643
A81-B140,A81,B140,0.2392,0.0278,0.0314,0.0386,1.128,1.27,0.2778,0.2214,both-deep,True,0.0132,0.0807,0.0308
A83-B137,A83,B137,0.2999,0.0307,0.0345,0.0705,1.124,1.26,0.2996,0.3364,both-deep,True,0.0055,0.0322,0.0312
A90-B155,A90,B155,0.1766,0.0299,0.0335,0.0349,1.122,1.26,0.2682,0.1661,both-deep,True,0.0092,0.113,0.0313
A78-B26,A78,B26,0.3457,0.0058,0.0065,0.043,1.12,1.25,0.3508,0.2888,both-deep,True,0.0044,0.001,0.0073
A96-B79,A96,B79,0.2469,0.0199,0.0222,0.0422,1.118,1.25,0.2407,0.3008,both-deep,True,0.0047,0.0515,0.0204
A196-B6,A196,B6,0.3161,0.0133,0.0149,0.031,1.118,1.25,0.3169,0.3447,both-deep,True,0.004,0.0028,0.0139
A78-B155,A78,B155,0.3445,0.0216,0.0709,0.0241,1.114,10.79,0.218,0.4073,both-deep,True,0.0125,0.056,0.025
A153-B30,A153,B30,0.3061,0.0059,0.0065,0.0139,1.104,1.22,0.3084,0.3237,both-deep,True,0.0037,0.0234,0.007
A135-B84,A135,B84,0.3345,0.0342,,0.0377,1.102,,,0.3547,amplicon-B4-only,True,0.0034,0.0605,0.0344
A159-B24,A159,B24,0.2979,0.0571,,0.0629,1.102,,,0.3115,amplicon-B4-only,True,0.0025,0.0149,0.0572
A196-B91,A196,B91,0.2979,0.0571,,0.0629,1.102,,,0.3115,amplicon-B4-only,True,0.0025,0.0149,0.0572
A102-B120,A102,B120,0.3345,0.0342,,0.0377,1.102,,,0.3547,amplicon-B4-only,True,0.0034,0.0605,0.0344
A63-B117,A63,B117,0.2604,0.0308,0.0339,0.048,1.101,1.21,0.2457,0.3502,both-deep,True,0.0061,0.0136,0.0314
A78-B150,A78,B150,0.3432,0.0156,0.0711,0.0171,1.098,20.89,0.2632,0.3689,both-deep,True,0.0042,0.01,0.0162
A81-B65,A81,B65,0.2609,0.031,0.034,0.0468,1.096,1.2,0.2741,0.267,both-deep,True,0.0052,0.0684,0.0314
A15-B84,A15,B84,0.3582,0.0174,,0.019,1.094,,,0.381,amplicon-B4-only,True,0.0038,0.0388,0.0178
A186-B30,A186,B30,0.3083,0.0354,,0.0386,1.091,,,0.3286,amplicon-B4-only,True,0.0035,0.018,0.0356
A143-B92,A143,B92,0.3832,0.0161,,0.0175,1.089,,,0.4057,amplicon-B4-only,True,0.0037,0.0403,0.0165
A191-B84,A191,B84,0.3644,0.0178,,0.0193,1.088,,,0.387,amplicon-B4-only,True,0.0038,0.0465,0.0182
A90-B47,A90,B47,0.2867,0.0238,0.0332,0.0257,1.082,1.95,0.2624,0.3427,both-deep,True,0.0099,0.0433,0.0258
A81-B84,A81,B84,0.2994,0.0096,0.0104,0.0249,1.081,1.17,0.304,0.2967,both-deep,True,0.0063,0.0224,0.0115
A78-B142,A78,B142,0.2901,0.0531,,0.0573,1.079,,,0.3052,amplicon-B4-only,True,0.0028,0.0221,0.0532
A90-B18,A90,B18,0.3269,0.0122,0.0131,0.0414,1.076,1.16,0.3317,0.346,both-deep,True,0.0192,0.0183,0.0227
A196-B86,A196,B86,0.2927,0.0681,,0.0732,1.076,,,0.3022,amplicon-B4-only,True,0.0018,0.035,0.0681
A143-B8,A143,B8,0.3703,0.0195,,0.0208,1.07,,,0.3925,amplicon-B4-only,True,0.0037,0.0597,0.0198
A81-B51,A81,B51,0.3401,0.0055,0.0059,0.0384,1.07,1.15,0.3414,0.2884,both-deep,True,0.0259,0.0065,0.0265
A81-B5,A81,B5,0.3703,0.0195,,0.0208,1.07,,,0.3925,amplicon-B4-only,True,0.0037,0.0597,0.0198
A81-B77,A81,B77,0.3703,0.0195,,0.0208,1.07,,,0.3925,amplicon-B4-only,True,0.0037,0.0597,0.0198
A159-B77,A159,B77,0.2913,0.0333,,0.0356,1.069,,,0.3118,amplicon-B4-only,True,0.0036,0.0503,0.0335
A81-B6,A81,B6,0.3579,0.0055,0.0059,0.0782,1.068,1.14,0.362,0.2523,both-deep,True,0.0051,0.0045,0.0075
A152-B9,A152,B9,0.235,0.0702,0.0748,0.0854,1.066,1.14,0.2488,0.2806,both-deep,True,0.0127,0.0281,0.0713
A196-B30,A196,B30,0.299,0.0181,0.0667,0.0192,1.065,13.63,0.2408,0.325,both-deep,True,0.0044,0.0312,0.0186
A186-B75,A186,B75,0.2281,0.0694,0.0738,0.0854,1.063,1.13,0.2394,0.2806,both-deep,True,0.0162,0.0181,0.0713
A81-B42,A81,B42,0.2692,0.0448,0.0699,0.0473,1.057,2.43,0.2407,0.3131,both-deep,True,0.0065,0.0404,0.0453
A81-B47,A81,B47,0.3447,0.0199,0.0209,0.0705,1.054,1.11,0.3422,0.3364,both-deep,True,0.0066,0.026,0.021
A196-B11,A196,B11,0.2771,0.009,0.0095,,1.054,1.11,0.2766,,WGS-only,False,0.0027,0.0305,0.0094
A81-B174,A81,B174,0.3561,0.006,0.0063,,1.052,1.11,0.3588,,WGS-only,False,0.0187,0.0022,0.0196
A63-B6,A63,B6,0.3288,0.0073,0.0076,,1.051,1.11,0.3363,,WGS-only,False,0.003,0.0189,0.0079
A96-B75,A96,B75,0.2539,0.0335,0.0352,0.0596,1.05,1.1,0.272,0.245,both-deep,True,0.0095,0.0595,0.0348
A152-B110,A152,B110,0.2307,0.0507,0.0642,0.0532,1.049,1.6,0.2249,0.274,both-deep,True,0.0098,0.0136,0.0516
A78-B171,A78,B171,0.1986,0.0274,0.0389,0.0288,1.049,2.01,0.1369,0.3321,both-deep,True,0.0288,0.0701,0.0398
A176-B120,A176,B120,0.342,0.0115,0.012,0.0727,1.048,1.1,0.335,0.3191,both-deep,True,0.0269,0.0096,0.0293
A83-B151,A83,B151,0.3021,0.0055,0.0057,,1.048,1.1,0.3025,,WGS-only,False,0.0047,0.0214,0.0072
A20-B30,A20,B30,0.2734,0.0429,,0.045,1.048,,,0.2912,amplicon-B4-only,True,0.0033,0.0755,0.043
A196-B4,A196,B4,0.3679,0.0065,0.0068,,1.045,1.09,0.3715,,WGS-only,False,0.0387,0.0032,0.0392
A20-B126,A20,B126,0.2642,0.0159,0.0166,0.048,1.045,1.09,0.2606,0.3502,both-deep,True,0.0165,0.0271,0.0229
A81-B30,A81,B30,0.3243,0.0056,0.0059,,1.045,1.09,0.3251,,WGS-only,False,0.0148,0.017,0.0158
A78-B3,A78,B3,0.3372,0.0055,0.0058,,1.044,1.09,0.338,,WGS-only,False,0.0123,0.0093,0.0135
A196-B168,A196,B168,0.3255,0.0058,0.0061,,1.044,1.09,0.326,,WGS-only,False,0.0049,0.0139,0.0076
A196-B151,A196,B151,0.2921,0.0055,0.0058,0.048,1.043,1.09,0.2915,0.3502,both-deep,True,0.0079,0.0241,0.0096
A90-B145,A90,B145,0.2469,0.0303,,0.0316,1.041,,,0.2667,amplicon-B4-only,True,0.0037,0.0845,0.0305
A176-B101,A176,B101,0.2514,0.0613,0.0637,0.0854,1.039,1.08,0.2639,0.2806,both-deep,True,0.0077,0.0035,0.0618
A78-B130,A78,B130,0.2131,0.063,0.0653,0.0814,1.038,1.08,0.2279,0.2663,both-deep,True,0.0145,0.0147,0.0646
