Candidate,verA,verB,r_joint_per_h,se_joint,se_wgs_only,se_ampl_only,se_reduction_ratio,ESS_fold_vs_wgs,r_wgs_only,r_ampl_only,evidence_tier,in_B4,se_heterogeneity_loso,r_sensitivity_to_b_amp,se_combined
A83-B138,A83,B138,0.3303,0.0113,0.0115,,1.022,1.04,0.3377,,WGS-only,False,0.003,0.0034,0.0117
A16-B79,A16,B79,0.2692,0.0412,0.0421,,1.022,1.05,0.2747,,WGS-only,False,0.0023,0.0224,0.0413
A98-B77,A98,B77,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A115-B84,A115,B84,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A126-B137,A126,B137,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A90-B165,A90,B165,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A90-B23,A90,B23,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A143-B145,A143,B145,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A132-B171,A132,B171,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A132-B15,A132,B15,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A145-B30,A145,B30,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A132-B117,A132,B117,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A149-B6,A149,B6,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A152-B126,A152,B126,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A143-B77,A143,B77,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A90-B147,A90,B147,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A84-B132,A84,B132,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A89-B119,A89,B119,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A196-B120,A196,B120,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A194-B117,A194,B117,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A176-B33,A176,B33,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A153-B105,A153,B105,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A196-B169,A196,B169,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A146-B137,A146,B137,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A147-B6,A147,B6,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A176-B132,A176,B132,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A196-B23,A196,B23,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A196-B19,A196,B19,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A81-B163,A81,B163,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A78-B97,A78,B97,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A153-B8,A153,B8,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A81-B127,A81,B127,0.2538,0.0255,0.026,,1.021,1.04,0.2521,,WGS-only,False,0.0026,0.0603,0.0256
A78-B93,A78,B93,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A78-B87,A78,B87,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A20-B117,A20,B117,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A196-B65,A196,B65,0.2893,0.0485,0.0495,,1.021,1.04,0.2898,,WGS-only,False,0.0032,0.0095,0.0486
A78-B149,A78,B149,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A78-B169,A78,B169,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A23-B87,A23,B87,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A25-B30,A25,B30,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A49-B27,A49,B27,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A74-B23,A74,B23,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A78-B115,A78,B115,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A60-B151,A60,B151,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A68-B27,A68,B27,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A23-B151,A23,B151,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A4-B171,A4,B171,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A65-B171,A65,B171,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A96-B91,A96,B91,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A63-B23,A63,B23,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A186-B115,A186,B115,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A96-B127,A96,B127,0.2772,0.0836,,0.0854,1.021,,,0.2806,amplicon-B4-only,True,0.0009,0.0864,0.0836
A153-B101,A153,B101,0.279,0.0451,0.046,,1.02,1.04,0.2785,,WGS-only,False,0.0038,0.016,0.0453
A153-B165,A153,B165,0.2914,0.0541,0.0551,,1.02,1.04,0.2919,,WGS-only,False,0.0028,0.004,0.0542
A196-B9,A196,B9,0.2724,0.0255,0.0261,,1.02,1.04,0.2725,,WGS-only,False,0.0038,0.0494,0.0258
A90-B119,A90,B119,0.2144,0.0522,,0.0532,1.02,,,0.2288,amplicon-B4-only,True,0.0027,0.1254,0.0523
A193-B11,A193,B11,0.279,0.0574,0.0585,,1.019,1.04,0.278,,WGS-only,False,0.0018,0.0133,0.0574
A90-B171,A90,B171,0.2548,0.0482,0.0491,,1.019,1.04,0.2528,,WGS-only,False,0.0026,0.052,0.0483
A96-B12,A96,B12,0.2476,0.0672,0.0684,,1.018,1.04,0.2505,,WGS-only,False,0.0015,0.0246,0.0672
A78-B144,A78,B144,0.2953,0.0626,0.0638,,1.018,1.04,0.2956,,WGS-only,False,0.0023,0.0118,0.0626
A20-B34,A20,B34,0.2476,0.0672,0.0684,,1.018,1.04,0.2505,,WGS-only,False,0.0015,0.0246,0.0672
A78-B69,A78,B69,0.2612,0.08,,0.0814,1.018,,,0.2663,amplicon-B4-only,True,0.0012,0.0425,0.08
A196-B163,A196,B163,0.2612,0.08,,0.0814,1.018,,,0.2663,amplicon-B4-only,True,0.0012,0.0425,0.08
A152-B149,A152,B149,0.2612,0.08,,0.0814,1.018,,,0.2663,amplicon-B4-only,True,0.0012,0.0425,0.08
A186-B143,A186,B143,0.2612,0.08,,0.0814,1.018,,,0.2663,amplicon-B4-only,True,0.0012,0.0425,0.08
A152-B2,A152,B2,0.2953,0.0626,0.0638,,1.018,1.04,0.2956,,WGS-only,False,0.0023,0.0118,0.0626
A196-B34,A196,B34,0.28,0.0517,0.0527,,1.018,1.04,0.2792,,WGS-only,False,0.0024,0.0176,0.0518
A196-B93,A196,B93,0.2476,0.0672,0.0684,,1.018,1.04,0.2505,,WGS-only,False,0.0015,0.0246,0.0672
A81-B15,A81,B15,0.2612,0.08,,0.0814,1.018,,,0.2663,amplicon-B4-only,True,0.0012,0.0425,0.08
A96-B27,A96,B27,0.2929,0.0206,0.021,,1.018,1.04,0.2998,,WGS-only,False,0.0028,0.0323,0.0208
A78-B42,A78,B42,0.28,0.0517,0.0527,,1.018,1.04,0.2792,,WGS-only,False,0.0024,0.0176,0.0518
A78-B23,A78,B23,0.2612,0.08,,0.0814,1.018,,,0.2663,amplicon-B4-only,True,0.0012,0.0425,0.08
A20-B71,A20,B71,0.3062,0.0149,0.0152,,1.018,1.04,0.3128,,WGS-only,False,0.0093,0.0241,0.0176
A20-B8,A20,B8,0.2612,0.08,,0.0814,1.018,,,0.2663,amplicon-B4-only,True,0.0012,0.0425,0.08
A16-B154,A16,B154,0.307,0.0177,0.018,,1.018,1.04,0.3105,,WGS-only,False,0.0049,0.0278,0.0184
A78-B9,A78,B9,0.2612,0.08,,0.0814,1.018,,,0.2663,amplicon-B4-only,True,0.0012,0.0425,0.08
A90-B159,A90,B159,0.1827,0.066,,0.0672,1.017,,,0.1928,amplicon-B4-only,True,0.0021,0.1211,0.066
A78-B40,A78,B40,0.2966,0.0225,0.0229,,1.017,1.03,0.3035,,WGS-only,False,0.0028,0.0332,0.0227
A90-B6,A90,B6,0.3049,0.0169,0.0172,,1.017,1.03,0.312,,WGS-only,False,0.0029,0.0235,0.0171
A96-B132,A96,B132,0.3068,0.0256,0.026,,1.017,1.03,0.3097,,WGS-only,False,0.0027,0.0014,0.0257
A81-B91,A81,B91,0.2522,0.0436,0.0443,,1.017,1.03,0.2574,,WGS-only,False,0.0022,0.0435,0.0437
A68-B117,A68,B117,0.246,0.0769,,0.0782,1.016,,,0.2523,amplicon-B4-only,True,0.0014,0.0026,0.0769
