Candidate,verA,verB,s_amplicon,n_primer_reps,s_barcode,model_barcode,nobs_barcode,s_integrated,model_integrated,nobs_integrated
A186-B30,A186,B30,-0.038900000000000004,2.0,,,,-0.1247,constant,2
A96-B140,A96,B140,-0.0182,2.0,,,,-0.1266,constant,2
A78-B151,A78,B151,-0.11159999999999999,3.0,-0.0868,constant,4.0,-0.1298,constant,4
A81-B4,A81,B4,,,,,,-0.1318,constant,2
A63-B147,A63,B147,,,,,,-0.1328,constant,2
A81-B12,A81,B12,-0.05995,2.0,,,,-0.1397,constant,2
A196-B123,A196,B123,-0.0794,2.0,,,,-0.1401,constant,3
A196-B117,A196,B117,-0.025800000000000003,3.0,0.0531,constant,3.0,-0.1408,constant,4
A81-B42,A81,B42,-0.05995,2.0,,,,-0.143,constant,2
A196-B8,A196,B8,-0.1075,3.0,,,,-0.1456,constant,2
A20-B178,A20,B178,-0.0397,2.0,,,,-0.1517,constant,2
A81-B171,A81,B171,-0.0116,2.0,-0.1535,constant,2.0,-0.1614,constant,3
A90-B154,A90,B154,-0.06609999999999999,2.0,,,,-0.1698,constant,2
A159-B49,A159,B49,-0.0958,1.0,,,,-0.1711,constant,2
A63-B151,A63,B151,-0.1234,3.0,,,,-0.1773,constant,3
A78-B103,A78,B103,-0.0389,2.0,,,,-0.1834,constant,2
A96-B87,A96,B87,-0.048549999999999996,2.0,,,,-0.1834,constant,2
A96-B75,A96,B75,-0.0475,1.0,,,,-0.1864,constant,2
A196-B30,A196,B30,-0.14366666666666666,3.0,,,,-0.1947,constant,2
A78-B171,A78,B171,-0.05273333333333333,3.0,-0.1315,constant,2.0,-0.2017,constant,2
A78-B77,A78,B77,-0.1665,3.0,-0.0043,constant,4.0,-0.2024,constant,4
A159-B77,A159,B77,-0.07316666666666667,3.0,,,,-0.2094,constant,2
A196-B87,A196,B87,-0.10106666666666668,3.0,0.0178,constant,4.0,-0.2118,constant,4
A153-B30,A153,B30,-0.1487,3.0,-0.0443,constant,2.0,-0.216,constant,3
A20-B30,A20,B30,-0.07275,2.0,,,,-0.2161,constant,2
A196-B2,A196,B2,-0.15966666666666665,3.0,0.1712,constant,3.0,-0.219,constant,3
A153-B6,A153,B6,-0.16290000000000002,3.0,-0.0926,constant,2.0,-0.2302,constant,3
A96-B79,A96,B79,-0.10980000000000001,2.0,,,,-0.2324,constant,2
A78-B26,A78,B26,-0.12440000000000001,2.0,,,,-0.2324,constant,2
A152-B110,A152,B110,-0.07055,2.0,,,,-0.2347,constant,2
A81-B51,A81,B51,-0.11923333333333334,3.0,,,,-0.235,constant,2
A196-B27,A196,B27,-0.21073333333333336,3.0,-0.0396,constant,3.0,-0.2453,constant,3
A81-B65,A81,B65,-0.1061,2.0,,,,-0.2467,constant,2
A78-B84,A78,B84,-0.1863,3.0,,,,-0.2506,constant,3
A90-B119,A90,B119,-0.07193333333333334,3.0,,,,-0.2509,constant,2
A196-B171,A196,B171,-0.15990000000000001,3.0,0.0274,constant,3.0,-0.2515,constant,4
A90-B59,A90,B59,-0.0927,2.0,,,,-0.2527,constant,2
A81-B27,A81,B27,-0.18396666666666664,3.0,-0.0758,constant,2.0,-0.2642,constant,4
A78-B137,A78,B137,-0.20926666666666668,3.0,-0.169,constant,3.0,-0.2703,constant,3
A90-B151,A90,B151,-0.1890333333333333,3.0,-0.1047,constant,2.0,-0.2766,constant,4
A81-B84,A81,B84,-0.16473333333333331,3.0,-0.0085,constant,2.0,-0.2953,constant,2
A196-B122,A196,B122,-0.1573,3.0,,,,-0.3073,constant,2
A81-B40,A81,B40,-0.1994,2.0,,,,-0.3137,constant,2
A78-B70,A78,B70,-0.11696666666666666,3.0,-0.0857,constant,2.0,-0.3195,constant,2
A81-B18,A81,B18,-0.2399,3.0,-0.0617,constant,2.0,-0.321,constant,3
A81-B75,A81,B75,-0.18969999999999998,3.0,,,,-0.3227,constant,2
A90-B145,A90,B145,-0.19366666666666665,3.0,,,,-0.3525,constant,2
A90-B120,A90,B120,-0.22253333333333333,3.0,,,,-0.3573,constant,2
A81-B140,A81,B140,-0.17806666666666668,3.0,,,,-0.3978,constant,2
A196-B15,A196,B15,-0.2742,3.0,,,,-0.3998,constant,2
A152-B151,A152,B151,-0.23840000000000003,3.0,,,,-0.4236,constant,2
A90-B155,A90,B155,-0.26099999999999995,3.0,-0.0369,constant,3.0,-0.5233,constant,3
