lineage,genotype,context,rate_per_transfer,se,ci95_lo,ci95_hi,p_value,fold_change_per_transfer,r2,n_points,n_transfers,dof,tier,raw_ci_excludes_0,q_value,call
TFMN4.exp1.combo5aWT.4,combo5aWT,TFMN4 exp1,0.00891,0.0173,-0.21091,0.22873,0.69731,1.0089,0.2095,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.tpiAMUT.3,tpiAMUT,TFMN4 exp1,0.00885,0.00273,-0.02577,0.04348,0.1901,1.0089,0.9134,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5aWT.5,combo5aWT,TFMN4 exp1,0.00824,0.0001,0.00696,0.00951,0.00776,1.0083,0.9999,3,3,1,low-leverage (3 transfers),True,,uncertain (low leverage)
TFMN4.exp1.combo10MUT.4,combo10MUT,TFMN4 exp1,0.00533,0.00261,-0.0278,0.03846,0.28953,1.0053,0.807,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaMUT.3,fbaMUT,TFMN4 exp1,0.00499,0.00835,-0.10105,0.11104,0.65683,1.005,0.2635,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaMUT-tpiAMUT.1,fbaMUT-tpiAMUT,TFMN4 exp1,0.00493,0.00259,-0.02801,0.03787,0.30809,1.0049,0.7835,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.tpiAMUT.5,tpiAMUT,TFMN4 exp1,0.00384,0.00307,-0.0352,0.04289,0.42941,1.0039,0.61,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.tpiAWT.3,tpiAWT,TFMN4 exp1,0.00292,0.01838,-0.23057,0.2364,0.89976,1.0029,0.0246,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo10MUT.2,combo10MUT,TFMN4 exp1,0.00261,0.00319,-0.03786,0.04308,0.56297,1.0026,0.4017,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaMUT-tpiAMUT.4,fbaMUT-tpiAMUT,TFMN4 exp1,0.00169,0.00231,-0.02762,0.03099,0.59765,1.0017,0.349,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo10MUT.5,combo10MUT,TFMN4 exp1,0.00054,0.00057,-0.00675,0.00783,0.52096,1.0005,0.4671,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaMUT.4,fbaMUT,TFMN4 exp1,0.00023,,,,,1.0002,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN4.exp1.tpiAMUT.4,tpiAMUT,TFMN4 exp1,-9e-05,0.0011,-0.01413,0.01395,0.9485,0.9999,0.0065,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5aWT.2,combo5aWT,TFMN4 exp1,-0.00117,,,,,0.9988,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo10MUT.3,combo10MUT,TFMN4 exp1,-0.00138,0.00076,-0.01098,0.00823,0.3199,0.9986,0.768,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.tpiAMUT.1,tpiAMUT,TFMN4 exp1,-0.00379,0.00664,-0.08813,0.08055,0.66969,0.9962,0.2459,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5aMUT.4,combo5aMUT,TFMN4 exp1,-0.00424,0.00021,-0.00685,-0.00162,0.0309,0.9958,0.9976,3,3,1,low-leverage (3 transfers),True,,uncertain (low leverage)
TFMN4.exp1.fbaWT-tpiAWT.3,fbaWT-tpiAWT,TFMN4 exp1,-0.00544,0.00059,-0.01289,0.00201,0.06835,0.9946,0.9885,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaWT.4,fbaWT,TFMN4 exp1,-0.00823,0.01005,-0.13598,0.11952,0.56326,0.9918,0.4013,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5bMUT.4,combo5bMUT,TFMN4 exp1,-0.01145,0.00251,-0.0433,0.0204,0.13719,0.9886,0.9543,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5aMUT.1,combo5aMUT,TFMN4 exp1,-0.02443,0.00459,-0.08279,0.03393,0.11829,0.9759,0.9659,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.noDNA.4,noDNA,control (noDNA),0.06704,,,,,1.0693,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN4.exp1.noDNA.1,noDNA,control (noDNA),0.04562,,,,,1.0467,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN4.exp1.noDNA.5,noDNA,control (noDNA),0.03718,,,,,1.0379,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN4.exp1.noDNA.3,noDNA,control (noDNA),0.03458,,,,,1.0352,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN1.noDNA.2,noDNA,control (noDNA),0.02909,0.01504,-0.00956,0.06775,0.1108,1.0295,0.4282,13,7,5,reliable,False,0.2909,flat
TFMN4.exp1.noDNA.2,noDNA,control (noDNA),0.02461,,,,,1.0249,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN1.noDNA.5,noDNA,control (noDNA),0.0059,,,,,1.0059,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
