lineage,genotype,context,model_selected,direction,unconstrained_direction,breakpoint_testable,logA_init,r_init_per_transfer,r_final_per_transfer,breakpoint_transfer,rel_rate_change,delta_bic,r2_constant,r2_two_phase,s_constant_per_transfer,n_transfers
TFMN1.pgi.tpiA.1,pgi.tpiA,TFMN1 double-KO,constant,constant,decelerating,True,-0.3578,-0.00013,-0.00013,,,,0.0004,,-0.00013,5
TFMN1.pgi.tpiA.2,pgi.tpiA,TFMN1 double-KO,constant,constant,decelerating,True,-0.4316,0.00275,0.00275,,,,0.3345,,0.00275,5
TFMN1.sohB.1,sohB,TFMN1 single-KO,constant,constant,none,False,-0.3913,0.14106,0.14106,,,,0.8035,,0.14106,3
TFMN1.sohB.4,sohB,TFMN1 single-KO,constant,constant,decelerating,True,0.1166,0.03603,0.03603,,,,0.4562,,0.03603,8
TFMN1.sohB.5,sohB,TFMN1 single-KO,constant,constant,decelerating,True,-0.2077,0.03065,0.03065,,,,0.8244,,0.03065,5
TFMN1.sohB.tpiA.5,sohB.tpiA,TFMN1 double-KO,constant,constant,decelerating,True,-0.0632,0.0208,0.0208,,,,0.3814,,0.0208,5
TFMN1.tpiA.2,tpiA,TFMN1 single-KO,constant,constant,decelerating,True,-0.3593,0.00414,0.00414,,,,0.8906,,0.00414,5
TFMN1.tpiA.5,tpiA,TFMN1 single-KO,constant,constant,decelerating,True,-0.2042,-0.00483,-0.00483,,,,0.2029,,-0.00483,5
TFMN4.exp1.combo10MUT.1,combo10MUT,TFMN4 exp1,constant,constant,none,False,-0.2961,0.00981,0.00981,,,,0.7633,,0.00981,3
TFMN4.exp1.combo10MUT.2,combo10MUT,TFMN4 exp1,constant,constant,none,False,-0.2432,0.00261,0.00261,,,,0.4017,,0.00261,3
TFMN4.exp1.combo10MUT.3,combo10MUT,TFMN4 exp1,constant,constant,none,False,-0.2165,-0.00138,-0.00138,,,,0.768,,-0.00138,3
TFMN4.exp1.combo10MUT.4,combo10MUT,TFMN4 exp1,constant,constant,none,False,-0.1743,0.00533,0.00533,,,,0.807,,0.00533,3
TFMN4.exp1.combo10MUT.5,combo10MUT,TFMN4 exp1,constant,constant,none,False,-0.2087,0.00054,0.00054,,,,0.4671,,0.00054,3
TFMN4.exp1.combo10WT.3,combo10WT,TFMN4 exp1,constant,constant,none,False,0.1876,0.0514,0.0514,,,,0.9695,,0.0514,3
TFMN4.exp1.combo10WT.4,combo10WT,TFMN4 exp1,constant,constant,none,False,0.3195,0.04671,0.04671,,,,0.8909,,0.04671,3
TFMN4.exp1.combo10WT.5,combo10WT,TFMN4 exp1,constant,constant,none,False,0.196,0.0337,0.0337,,,,0.9138,,0.0337,3
TFMN4.exp1.combo5aMUT.1,combo5aMUT,TFMN4 exp1,constant,constant,none,False,0.3356,-0.02443,-0.02443,,,,0.9659,,-0.02443,3
TFMN4.exp1.combo5aMUT.2,combo5aMUT,TFMN4 exp1,constant,constant,none,False,0.3174,0.04184,0.04184,,,,0.9991,,0.04184,3
TFMN4.exp1.combo5aMUT.3,combo5aMUT,TFMN4 exp1,constant,constant,none,False,0.1915,0.03228,0.03228,,,,0.7429,,0.03228,3
TFMN4.exp1.combo5aMUT.4,combo5aMUT,TFMN4 exp1,constant,constant,none,False,0.0698,-0.00424,-0.00424,,,,0.9976,,-0.00424,3
TFMN4.exp1.combo5aMUT.5,combo5aMUT,TFMN4 exp1,constant,constant,none,False,0.1013,0.05512,0.05512,,,,0.968,,0.05512,3
TFMN4.exp1.combo5aWT.1,combo5aWT,TFMN4 exp1,constant,constant,none,False,0.2677,0.04947,0.04947,,,,0.9961,,0.04947,3
TFMN4.exp1.combo5aWT.3,combo5aWT,TFMN4 exp1,constant,constant,none,False,0.3479,0.05902,0.05902,,,,0.8969,,0.05902,3
TFMN4.exp1.combo5aWT.4,combo5aWT,TFMN4 exp1,constant,constant,none,False,1.317,0.00891,0.00891,,,,0.2095,,0.00891,3
TFMN4.exp1.combo5aWT.5,combo5aWT,TFMN4 exp1,constant,constant,none,False,0.7326,0.00824,0.00824,,,,0.9999,,0.00824,3
TFMN4.exp1.combo5bMUT.1,combo5bMUT,TFMN4 exp1,constant,constant,none,False,0.4166,0.03245,0.03245,,,,0.8879,,0.03245,3
TFMN4.exp1.combo5bMUT.2,combo5bMUT,TFMN4 exp1,constant,constant,none,False,0.1052,0.01708,0.01708,,,,0.8954,,0.01708,3
TFMN4.exp1.combo5bMUT.3,combo5bMUT,TFMN4 exp1,constant,constant,none,False,0.1909,0.01226,0.01226,,,,0.8352,,0.01226,3
TFMN4.exp1.combo5bMUT.4,combo5bMUT,TFMN4 exp1,constant,constant,none,False,0.4427,-0.01145,-0.01145,,,,0.9543,,-0.01145,3
TFMN4.exp1.combo5bMUT.5,combo5bMUT,TFMN4 exp1,constant,constant,none,False,0.3576,0.03562,0.03562,,,,0.9946,,0.03562,3
TFMN4.exp1.fbaMUT-tpiAMUT.1,fbaMUT-tpiAMUT,TFMN4 exp1,constant,constant,none,False,-0.2154,0.00493,0.00493,,,,0.7835,,0.00493,3
TFMN4.exp1.fbaMUT-tpiAMUT.2,fbaMUT-tpiAMUT,TFMN4 exp1,constant,constant,none,False,0.0245,0.01865,0.01865,,,,0.8237,,0.01865,3
TFMN4.exp1.fbaMUT-tpiAMUT.3,fbaMUT-tpiAMUT,TFMN4 exp1,constant,constant,none,False,-0.2333,0.01538,0.01538,,,,0.9996,,0.01538,3
TFMN4.exp1.fbaMUT-tpiAMUT.4,fbaMUT-tpiAMUT,TFMN4 exp1,constant,constant,none,False,-0.1893,0.00169,0.00169,,,,0.349,,0.00169,3
TFMN4.exp1.fbaMUT-tpiAMUT.5,fbaMUT-tpiAMUT,TFMN4 exp1,constant,constant,none,False,-0.2378,0.01083,0.01083,,,,0.9947,,0.01083,3
TFMN4.exp1.fbaMUT.1,fbaMUT,TFMN4 exp1,constant,constant,none,False,0.2996,0.05119,0.05119,,,,0.9782,,0.05119,3
TFMN4.exp1.fbaMUT.2,fbaMUT,TFMN4 exp1,constant,constant,none,False,0.257,0.0351,0.0351,,,,0.8943,,0.0351,3
TFMN4.exp1.fbaMUT.3,fbaMUT,TFMN4 exp1,constant,constant,none,False,0.1809,0.00499,0.00499,,,,0.2635,,0.00499,3
TFMN4.exp1.fbaWT-tpiAWT.1,fbaWT-tpiAWT,TFMN4 exp1,constant,constant,none,False,0.386,0.05363,0.05363,,,,0.99,,0.05363,3
TFMN4.exp1.fbaWT-tpiAWT.2,fbaWT-tpiAWT,TFMN4 exp1,constant,constant,none,False,0.1837,0.06576,0.06576,,,,0.8659,,0.06576,3
TFMN4.exp1.fbaWT-tpiAWT.3,fbaWT-tpiAWT,TFMN4 exp1,constant,constant,none,False,0.1852,-0.00544,-0.00544,,,,0.9885,,-0.00544,3
TFMN4.exp1.fbaWT.1,fbaWT,TFMN4 exp1,constant,constant,none,False,0.1668,0.06213,0.06213,,,,0.9254,,0.06213,3
TFMN4.exp1.fbaWT.2,fbaWT,TFMN4 exp1,constant,constant,none,False,0.1982,0.05772,0.05772,,,,0.9569,,0.05772,3
TFMN4.exp1.fbaWT.3,fbaWT,TFMN4 exp1,constant,constant,none,False,0.2007,0.01965,0.01965,,,,0.6368,,0.01965,3
TFMN4.exp1.fbaWT.4,fbaWT,TFMN4 exp1,constant,constant,none,False,0.1544,-0.00823,-0.00823,,,,0.4013,,-0.00823,3
TFMN4.exp1.fbaWT.5,fbaWT,TFMN4 exp1,constant,constant,none,False,0.2001,0.05355,0.05355,,,,0.975,,0.05355,3
TFMN4.exp1.tpiAMUT.1,tpiAMUT,TFMN4 exp1,constant,constant,none,False,-0.0327,-0.00379,-0.00379,,,,0.2459,,-0.00379,3
TFMN4.exp1.tpiAMUT.2,tpiAMUT,TFMN4 exp1,constant,constant,none,False,-0.3084,0.00936,0.00936,,,,0.9837,,0.00936,3
TFMN4.exp1.tpiAMUT.3,tpiAMUT,TFMN4 exp1,constant,constant,none,False,-0.2278,0.00885,0.00885,,,,0.9134,,0.00885,3
TFMN4.exp1.tpiAMUT.4,tpiAMUT,TFMN4 exp1,constant,constant,none,False,-0.1729,-9e-05,-9e-05,,,,0.0065,,-9e-05,3
TFMN4.exp1.tpiAMUT.5,tpiAMUT,TFMN4 exp1,constant,constant,none,False,-0.1383,0.00384,0.00384,,,,0.61,,0.00384,3
TFMN4.exp1.tpiAWT.1,tpiAWT,TFMN4 exp1,constant,constant,none,False,0.1196,0.05954,0.05954,,,,0.95,,0.05954,3
TFMN4.exp1.tpiAWT.2,tpiAWT,TFMN4 exp1,constant,constant,none,False,0.2066,0.04599,0.04599,,,,0.9641,,0.04599,3
TFMN4.exp1.tpiAWT.3,tpiAWT,TFMN4 exp1,constant,constant,none,False,0.1051,0.00292,0.00292,,,,0.0246,,0.00292,3
TFMN4.exp1.tpiAWT.4,tpiAWT,TFMN4 exp1,constant,constant,none,False,0.2592,0.0536,0.0536,,,,0.9012,,0.0536,3
TFMN4.exp1.tpiAWT.5,tpiAWT,TFMN4 exp1,constant,constant,none,False,0.2627,0.02202,0.02202,,,,0.7595,,0.02202,3
TFMN1.sohB.tpiA.2,sohB.tpiA,TFMN1 double-KO,two_phase,accelerating,accelerating,True,-0.3524,-0.00919,0.01029,11.0,0.3895,7.788,0.4777,0.9203,0.0046,5
TFMN1.fba.tpiA.1,fba.tpiA,TFMN1 double-KO,two_phase,accelerating,accelerating,True,-0.3769,-0.01129,0.00452,5.0,0.3161,6.153,0.7105,0.9387,0.00332,5
TFMN1.pgi.tpiA.3,pgi.tpiA,TFMN1 double-KO,two_phase,accelerating,accelerating,True,-0.3581,-0.02558,0.00106,5.0,0.5328,6.144,0.0952,0.8081,-0.00115,5
