allele,marginal_s_per_cycle,se,n_pairs,n_samples,sweep_wins,drift_null_p,null_lo,null_hi,exceeds_drift_null,robust_selection
B30,-0.09199166692191295,0.000999034255532085,10,3,0,0.20666666666666667,-0.1750236078704347,0.13271761116315603,False,False
B49,-0.0958054473341649,0.137026786120429,1,3,0,0.22666666666666666,-0.20911234460440925,0.13033303977204536,False,False
B65,-0.10091630636628292,0.048202551511322335,2,3,0,0.1,-0.14152041200320697,0.08358122934794075,False,False
B137,-0.10164602892562714,0.05867172325890191,4,3,0,0.03,-0.09781110009729894,0.0978395578565468,True,False
B51,-0.10628049763973291,0.021652470521274378,3,3,0,0.10333333333333333,-0.17524691553470242,0.10085815069838398,False,False
B26,-0.12485301813979459,0.04691843854920073,2,2,0,0.023333333333333334,-0.122487796735117,0.06731454493541184,True,False
B84,-0.1280374500825814,0.008235290892601268,14,3,0,0.0,-0.08400102307228047,0.059762871538660764,True,True
B145,-0.1479951666083339,0.015694744208607902,3,3,0,0.006666666666666667,-0.11300082311602272,0.07564159655506454,True,False
B122,-0.15126301675289938,0.047127752035878795,3,3,0,0.006666666666666667,-0.09757094072890868,0.06773050870135072,True,False
B2,-0.1547395416543135,0.11872822328691447,3,3,0,0.0,-0.05164781207039077,0.04540873977442275,True,False
B27,-0.1636212978098857,0.008522789064765963,6,3,0,0.0,-0.06374510860702998,0.046483697411114834,True,True
B6,-0.16560813028052504,0.02866416138216466,5,3,0,0.0,-0.04218134642596461,0.03680361379947196,True,True
B140,-0.16870043622322095,0.013786246353676304,5,3,0,0.0033333333333333335,-0.10820174861416815,0.08956070385546425,True,True
B77,-0.17557776925194415,0.005477846371411759,6,3,0,0.0,-0.0151061972898559,0.02242493366347135,True,True
B120,-0.17956860021033708,0.02280673209608389,3,3,0,0.0033333333333333335,-0.11782258187253793,0.07282207659064877,True,False
B18,-0.1912097264023438,0.03400350508320078,4,3,0,0.0,-0.09772909882171611,0.0782425407210772,True,False
B155,-0.24259047573675505,0.1372771142553505,3,3,0,0.0,-0.09076282599519991,0.05730638780885156,True,False
B40,-0.24263494828981544,0.07593954528397935,2,3,0,0.0,-0.061895211038448125,0.0547219596578535,True,False
B15,-0.2835849898566359,0.03255591581413938,3,3,0,0.0,-0.04582995718914134,0.035660158106509035,True,False
