Candidate,verA,verB,n_samples,bridged,beta_per_cycle,beta_se,beta_se_raw,beta_per_generation,I2_heterogeneity,samples
A196-B91,A196,B91,1,False,-0.004,0.0328,0.0373,-0.0012,,B4_M_fbcr
A159-B24,A159,B24,2,True,-0.0048,0.0179,0.0204,-0.0014,0.0,B4_M_bcfr;B4_M_fbcr
A196-B75,A196,B75,2,True,-0.0099,0.0185,0.021,-0.003,0.0,B4_M_bcfr;B4_M_fbcr
A196-B85,A196,B85,1,False,-0.01,0.0186,0.0211,-0.003,,B4_M_bcfr
A196-B86,A196,B86,1,False,-0.01,0.0186,0.0211,-0.003,,B4_M_bcfr
A152-B100,A152,B100,3,True,-0.0124,0.0695,0.0791,-0.0037,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A90-B18,A90,B18,1,False,-0.0164,0.1758,0.2001,-0.0049,,B4_M_bcfr
A81-B171,A81,B171,2,True,-0.0184,0.0244,0.0278,-0.0055,0.0,B4_M_fbcr;B4_M_fr
A90-B119,A90,B119,3,True,-0.0249,0.0244,0.0278,-0.0074,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A96-B87,A96,B87,2,True,-0.0265,0.0144,0.0164,-0.0079,0.351,B4_M_bcfr;B4_M_fbcr
A78-B103,A78,B103,2,True,-0.0266,0.0738,0.084,-0.0079,0.0,B4_M_bcfr;B4_M_fbcr
A78-B142,A78,B142,1,False,-0.0306,0.0723,0.0823,-0.0091,,B4_M_fbcr
A81-B12,A81,B12,2,True,-0.0354,0.0579,0.0659,-0.0105,0.0,B4_M_bcfr;B4_M_fbcr
A81-B42,A81,B42,2,True,-0.0354,0.0579,0.0659,-0.0105,0.0,B4_M_bcfr;B4_M_fbcr
A20-B30,A20,B30,2,True,-0.0367,0.0375,0.0427,-0.0109,0.029,B4_M_bcfr;B4_M_fbcr
A90-B47,A90,B47,3,True,-0.0388,0.0395,0.0449,-0.0116,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A96-B140,A96,B140,2,True,-0.0395,0.0402,0.0457,-0.0118,0.0,B4_M_bcfr;B4_M_fr
A63-B75,A63,B75,1,False,-0.0407,0.0426,0.0485,-0.0121,,B4_M_fr
A90-B154,A90,B154,2,True,-0.0463,0.0507,0.0578,-0.0138,0.0,B4_M_bcfr;B4_M_fbcr
A96-B75,A96,B75,1,False,-0.0464,0.0115,0.0131,-0.0138,,B4_M_bcfr
A20-B84,A20,B84,1,False,-0.0464,0.0115,0.0131,-0.0138,,B4_M_bcfr
A78-B171,A78,B171,3,True,-0.0466,0.0114,0.013,-0.0139,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A90-B59,A90,B59,2,True,-0.0522,0.0565,0.0643,-0.0155,0.0,B4_M_bcfr;B4_M_fbcr
A196-B123,A196,B123,2,True,-0.0527,0.0446,0.0508,-0.0157,0.0,B4_M_bcfr;B4_M_fbcr
A159-B77,A159,B77,3,True,-0.0533,0.0493,0.0562,-0.0159,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A196-B117,A196,B117,3,True,-0.0542,0.1946,0.2215,-0.0161,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A96-B79,A96,B79,2,True,-0.0781,0.024,0.0274,-0.0232,0.0,B4_M_bcfr;B4_M_fbcr
A78-B151,A78,B151,3,True,-0.0795,0.002,0.0023,-0.0237,0.258,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A78-B70,A78,B70,3,True,-0.0836,0.0199,0.0226,-0.0249,0.793,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A81-B65,A81,B65,2,True,-0.0884,0.0423,0.0482,-0.0263,0.0,B4_M_bcfr;B4_M_fbcr
A196-B59,A196,B59,3,True,-0.0904,0.1778,0.2024,-0.0269,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A186-B30,A186,B30,2,True,-0.0909,0.0009,0.001,-0.0271,0.812,B4_M_bcfr;B4_M_fr
A83-B50,A83,B50,3,True,-0.0926,0.0679,0.0773,-0.0276,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A159-B49,A159,B49,1,False,-0.0947,0.1204,0.137,-0.0282,,B4_M_bcfr
A152-B110,A152,B110,2,True,-0.1028,0.0215,0.0244,-0.0306,0.059,B4_M_fbcr;B4_M_fr
A78-B26,A78,B26,2,True,-0.1088,0.0412,0.0469,-0.0324,0.0,B4_M_bcfr;B4_M_fbcr
A196-B150,A196,B150,3,True,-0.1106,0.1248,0.1421,-0.0329,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A196-B8,A196,B8,3,True,-0.1143,0.0835,0.0951,-0.034,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A196-B87,A196,B87,3,True,-0.1148,0.124,0.1412,-0.0342,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A81-B51,A81,B51,3,True,-0.1343,0.019,0.0217,-0.04,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A153-B30,A153,B30,3,True,-0.1375,0.083,0.0945,-0.0409,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A78-B77,A78,B77,3,True,-0.1426,0.0048,0.0055,-0.0424,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A153-B6,A153,B6,3,True,-0.1441,0.0258,0.0294,-0.0429,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A196-B122,A196,B122,3,True,-0.1504,0.0414,0.0471,-0.0448,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A81-B140,A81,B140,3,True,-0.1509,0.0127,0.0145,-0.0449,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A63-B151,A63,B151,3,True,-0.1544,0.0283,0.0322,-0.046,0.002,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A196-B2,A196,B2,3,True,-0.1594,0.1043,0.1187,-0.0474,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A196-B30,A196,B30,3,True,-0.1635,0.0652,0.0742,-0.0487,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A81-B27,A81,B27,3,True,-0.1666,0.0075,0.0086,-0.0496,0.451,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A90-B145,A90,B145,3,True,-0.1733,0.0138,0.0157,-0.0516,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A152-B151,A152,B151,3,True,-0.1745,0.0186,0.0211,-0.0519,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A78-B84,A78,B84,3,True,-0.1981,0.0405,0.0461,-0.0589,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A81-B84,A81,B84,3,True,-0.2031,0.0104,0.0118,-0.0604,0.844,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A81-B75,A81,B75,3,True,-0.2049,0.0356,0.0406,-0.061,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A196-B171,A196,B171,3,True,-0.2064,0.0538,0.0613,-0.0614,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A90-B120,A90,B120,3,True,-0.2107,0.02,0.0228,-0.0627,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A81-B40,A81,B40,2,True,-0.215,0.0667,0.0759,-0.064,0.0,B4_M_bcfr;B4_M_fbcr
A81-B18,A81,B18,3,True,-0.2247,0.0303,0.0345,-0.0669,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A90-B151,A90,B151,3,True,-0.2275,0.0215,0.0245,-0.0677,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A196-B27,A196,B27,3,True,-0.2329,0.0862,0.0981,-0.0693,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A90-B155,A90,B155,3,True,-0.2496,0.1206,0.1373,-0.0743,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A78-B137,A78,B137,3,True,-0.2738,0.0817,0.093,-0.0815,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A196-B15,A196,B15,3,True,-0.2784,0.0286,0.0326,-0.0829,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
