Candidate,verA,verB,n_samples,has_slope_info,r_global_per_h,se_laplace,rel_advantage_per_h,doubling_h,ci_boot_lo,ci_boot_hi,se_boot,loso_heterogeneity_sd,sens_to_OD_weight,identifiability
A93-B8,A93,B8,3,True,0.3439,0.0123,0.0466,2.02,0.3285,0.3707,0.0119,0.0061,0.0465,mixed
A81-B3,A81,B3,3,True,0.3412,0.0087,0.0439,2.03,0.3413,0.3728,0.0083,0.0037,0.0465,mixed
A81-B77,A81,B77,2,False,0.3389,0.0192,0.0416,2.05,0.1687,0.3574,0.0642,0.0359,0.0464,mixed
A143-B84,A143,B84,3,True,0.3381,0.0065,0.0408,2.05,0.343,0.3708,0.0073,0.0038,0.0475,mixed
A143-B8,A143,B8,2,False,0.3373,0.0188,0.04,2.06,0.174,0.3551,0.0538,0.0324,0.0467,mixed
A81-B5,A81,B5,2,False,0.3373,0.0188,0.04,2.06,0.178,0.354,0.0532,0.0254,0.0467,mixed
A191-B84,A191,B84,2,True,0.3338,0.0175,0.0366,2.08,0.1818,0.3566,0.0421,0.0162,0.0494,mixed
A15-B84,A15,B84,3,True,0.3266,0.0178,0.0294,2.12,0.2006,0.3461,0.0411,0.0183,0.0461,mixed
A81-B132,A81,B132,3,True,0.3243,0.0068,0.0271,2.14,0.3314,0.357,0.007,0.0029,0.0468,mixed
A78-B150,A78,B150,3,True,0.3176,0.0154,0.0203,2.18,0.2885,0.353,0.0159,0.0099,0.0448,mixed
A152-B100,A152,B100,3,True,0.3159,0.0081,0.0186,2.19,0.3209,0.3471,0.0072,0.0028,0.047,mixed
A135-B84,A135,B84,1,False,0.3119,0.0303,0.0147,2.22,0.1835,0.3487,0.0396,0.011,0.0416,mixed
A83-B50,A83,B50,3,True,0.3102,0.0111,0.013,2.23,0.3079,0.3433,0.0092,0.0094,0.0469,mixed
A143-B93,A143,B93,1,False,0.3098,0.0373,0.0125,2.24,0.177,0.3474,0.0428,0.0031,0.0362,mixed
A20-B126,A20,B126,1,False,0.3089,0.0351,0.0116,2.24,0.1763,0.3402,0.0458,0.0037,0.0352,mixed
A102-B120,A102,B120,2,False,0.3063,0.0318,0.009,2.26,0.2453,0.3309,0.0239,0.007,0.0427,mixed
A90-B18,A90,B18,1,True,0.3041,0.0328,0.0068,2.28,0.2126,0.3434,0.0308,0.0092,0.0456,mixed
A176-B119,A176,B119,2,False,0.3037,0.0388,0.0064,2.28,0.1514,0.32,0.045,0.0026,0.0411,mixed
A196-B107,A196,B107,2,False,0.3037,0.0388,0.0064,2.28,0.1492,0.3265,0.0458,0.0026,0.0411,mixed
A196-B151,A196,B151,2,False,0.3037,0.0388,0.0064,2.28,0.1585,0.3173,0.0378,0.0026,0.0411,mixed
A63-B117,A63,B117,2,False,0.3037,0.0388,0.0064,2.28,0.1595,0.3146,0.0411,0.0026,0.0411,mixed
A143-B148,A143,B148,1,False,0.3029,0.0535,0.0057,2.29,0.1801,0.3209,0.0478,0.0138,0.0329,mixed
A176-B104,A176,B104,1,False,0.3029,0.0535,0.0057,2.29,0.1852,0.3293,0.0481,0.0138,0.0329,mixed
A145-B8,A145,B8,1,False,0.3029,0.0535,0.0057,2.29,0.1825,0.3317,0.0462,0.0138,0.0329,mixed
A196-B139,A196,B139,1,False,0.3029,0.0535,0.0057,2.29,0.185,0.3196,0.0436,0.0138,0.0329,mixed
A1-B87,A1,B87,1,False,0.3029,0.0535,0.0057,2.29,0.1873,0.3195,0.0482,0.0138,0.0329,mixed
A151-B19,A151,B19,1,False,0.3029,0.0535,0.0057,2.29,0.1808,0.3307,0.0489,0.0138,0.0329,mixed
A81-B136,A81,B136,1,False,0.3029,0.0535,0.0057,2.29,0.1801,0.3273,0.0482,0.0138,0.0329,mixed
A78-B68,A78,B68,1,False,0.3029,0.0535,0.0057,2.29,0.1837,0.3432,0.0471,0.0138,0.0329,mixed
A196-B39,A196,B39,1,False,0.3029,0.0535,0.0057,2.29,0.1801,0.3313,0.0505,0.0138,0.0329,mixed
A83-B137,A83,B137,1,False,0.3029,0.0535,0.0057,2.29,0.1771,0.3259,0.0487,0.0138,0.0329,mixed
A193-B77,A193,B77,1,False,0.3029,0.0535,0.0057,2.29,0.1825,0.3276,0.045,0.0138,0.0329,mixed
A78-B73,A78,B73,1,False,0.3029,0.0535,0.0057,2.29,0.1735,0.3239,0.0494,0.0138,0.0329,mixed
A132-B87,A132,B87,1,False,0.3028,0.0504,0.0055,2.29,0.1784,0.3276,0.0538,0.0149,0.0332,mixed
A81-B47,A81,B47,1,False,0.3028,0.0504,0.0055,2.29,0.1827,0.3311,0.0525,0.0149,0.0332,mixed
A93-B40,A93,B40,1,False,0.3028,0.0504,0.0055,2.29,0.1843,0.3252,0.0466,0.0149,0.0332,mixed
A143-B130,A143,B130,1,False,0.3028,0.0504,0.0055,2.29,0.1764,0.3115,0.0479,0.0149,0.0332,mixed
A78-B80,A78,B80,1,False,0.3028,0.0504,0.0055,2.29,0.1776,0.3215,0.0507,0.0149,0.0332,mixed
A176-B131,A176,B131,2,False,0.301,0.0415,0.0038,2.3,0.1571,0.3063,0.0402,0.0043,0.0368,mixed
A196-B6,A196,B6,2,True,0.3005,0.0245,0.0032,2.31,0.2774,0.337,0.0166,0.0035,0.0451,mixed
A78-B151,A78,B151,3,True,0.3,0.0071,0.0027,2.31,0.3058,0.3318,0.0068,0.0048,0.0454,mixed
A196-B123,A196,B123,3,True,0.2989,0.0138,0.0017,2.32,0.2928,0.3321,0.0097,0.0037,0.0454,mixed
A82-B8,A82,B8,1,False,0.2975,0.0592,0.0003,2.33,0.1952,0.3431,0.0493,0.0093,0.0347,mixed
A81-B16,A81,B16,1,False,0.2975,0.0592,0.0003,2.33,0.1984,0.344,0.0497,0.0093,0.0347,mixed
A78-B89,A78,B89,1,False,0.2975,0.0592,0.0003,2.33,0.1968,0.3316,0.0403,0.0093,0.0347,mixed
A78-B65,A78,B65,1,False,0.2975,0.0592,0.0003,2.33,0.198,0.3386,0.0457,0.0093,0.0347,mixed
A68-B87,A68,B87,1,False,0.2975,0.0592,0.0003,2.33,0.1958,0.3409,0.0481,0.0093,0.0347,mixed
A176-B65,A176,B65,1,False,0.2975,0.0592,0.0003,2.33,0.198,0.3287,0.046,0.0093,0.0347,mixed
A143-B100,A143,B100,1,False,0.2975,0.0592,0.0003,2.33,0.1953,0.3302,0.0477,0.0093,0.0347,mixed
A90-B103,A90,B103,1,False,0.2975,0.0592,0.0003,2.33,0.1973,0.3213,0.0456,0.0093,0.0347,mixed
A90-B47,A90,B47,3,True,0.2964,0.0209,-0.0009,2.34,0.3018,0.3336,0.0099,0.0038,0.0436,mixed
A78-B109,A78,B109,2,True,0.2948,0.0412,-0.0024,2.35,0.1444,0.3187,0.0448,0.0027,0.0351,mixed
A196-B75,A196,B75,2,True,0.2939,0.028,-0.0033,2.36,0.2704,0.3349,0.0186,0.0066,0.0458,mixed
A4-B87,A4,B87,1,True,0.291,0.0412,-0.0062,2.38,0.2183,0.3342,0.0301,0.004,0.0417,mixed
A63-B151,A63,B151,3,True,0.2898,0.0141,-0.0075,2.39,0.2896,0.3243,0.0097,0.0044,0.0448,mixed
A4-B117,A4,B117,1,True,0.289,0.0539,-0.0082,2.4,0.1739,0.3247,0.0431,0.0104,0.0408,mixed
A63-B84,A63,B84,1,True,0.289,0.0539,-0.0082,2.4,0.1766,0.3239,0.0427,0.0104,0.0408,mixed
A77-B8,A77,B8,1,True,0.289,0.0539,-0.0082,2.4,0.1741,0.3247,0.039,0.0104,0.0408,mixed
A81-B171,A81,B171,3,True,0.2886,0.0216,-0.0086,2.4,0.2851,0.3297,0.0126,0.0074,0.0425,mixed
A196-B150,A196,B150,3,True,0.2883,0.0123,-0.0089,2.4,0.2919,0.3218,0.0078,0.0032,0.0442,mixed
A78-B171,A78,B171,3,True,0.2876,0.0226,-0.0097,2.41,0.2914,0.3296,0.0118,0.0039,0.0437,mixed
A78-B77,A78,B77,3,True,0.2873,0.0069,-0.0099,2.41,0.2902,0.3205,0.008,0.0024,0.0468,mixed
A196-B59,A196,B59,3,True,0.2855,0.0078,-0.0117,2.43,0.2916,0.3174,0.0074,0.0038,0.0456,mixed
A196-B8,A196,B8,3,True,0.2854,0.0172,-0.0118,2.43,0.2901,0.3248,0.0083,0.0025,0.0445,mixed
A196-B117,A196,B117,3,True,0.2849,0.0072,-0.0124,2.43,0.2913,0.3161,0.007,0.0027,0.0464,mixed
A90-B84,A90,B84,2,True,0.2844,0.0464,-0.0128,2.44,0.2232,0.3158,0.0266,0.0161,0.0338,mixed
A186-B30,A186,B30,3,True,0.283,0.0317,-0.0142,2.45,0.2671,0.3218,0.0151,0.0053,0.0428,mixed
A81-B12,A81,B12,3,True,0.2815,0.0312,-0.0158,2.46,0.2622,0.3271,0.0169,0.0055,0.0447,mixed
A196-B87,A196,B87,3,True,0.2813,0.0072,-0.0159,2.46,0.2885,0.3133,0.007,0.0045,0.0467,mixed
A196-B171,A196,B171,3,True,0.2811,0.0093,-0.0161,2.47,0.2816,0.3113,0.0076,0.005,0.0464,mixed
A153-B30,A153,B30,3,True,0.2794,0.0107,-0.0178,2.48,0.2826,0.3129,0.0075,0.0026,0.0442,mixed
A153-B6,A153,B6,3,True,0.2793,0.0114,-0.0179,2.48,0.2797,0.3117,0.0077,0.0034,0.0455,mixed
A81-B42,A81,B42,2,True,0.2791,0.0341,-0.0182,2.48,0.2689,0.3282,0.0156,0.0061,0.0433,mixed
A196-B30,A196,B30,3,True,0.2789,0.0156,-0.0184,2.49,0.2821,0.3164,0.0087,0.0042,0.0448,mixed
A90-B26,A90,B26,2,False,0.2788,0.0591,-0.0185,2.49,0.1474,0.2967,0.0416,0.0062,0.036,mixed
A96-B87,A96,B87,3,True,0.2788,0.0324,-0.0185,2.49,0.2636,0.3251,0.0157,0.0026,0.0448,mixed
A159-B24,A159,B24,2,True,0.2765,0.0483,-0.0208,2.51,0.2397,0.3165,0.0205,0.0025,0.0404,mixed
A78-B84,A78,B84,3,True,0.2756,0.0105,-0.0217,2.52,0.2793,0.3066,0.0074,0.0025,0.0442,mixed
A78-B103,A78,B103,3,True,0.2755,0.0329,-0.0217,2.52,0.2539,0.3217,0.0163,0.0078,0.044,mixed
A96-B140,A96,B140,3,True,0.2755,0.0366,-0.0217,2.52,0.2691,0.3246,0.0151,0.0049,0.0427,mixed
A90-B151,A90,B151,3,True,0.2754,0.0136,-0.0218,2.52,0.2768,0.3097,0.009,0.0058,0.0448,mixed
A196-B2,A196,B2,3,True,0.2746,0.0119,-0.0226,2.52,0.2813,0.3078,0.0079,0.0033,0.0446,mixed
A78-B142,A78,B142,2,True,0.2745,0.0418,-0.0227,2.52,0.2504,0.3131,0.0168,0.0062,0.0407,mixed
A196-B91,A196,B91,2,True,0.2735,0.0492,-0.0238,2.53,0.2367,0.3117,0.0178,0.0039,0.0406,mixed
A20-B84,A20,B84,3,True,0.2711,0.0447,-0.0262,2.56,0.241,0.3075,0.0209,0.0051,0.0406,mixed
A159-B77,A159,B77,3,True,0.2709,0.0278,-0.0263,2.56,0.2753,0.3233,0.0128,0.0046,0.0415,mixed
A196-B86,A196,B86,1,True,0.2707,0.0621,-0.0265,2.56,0.1727,0.3199,0.0359,0.0075,0.0409,mixed
A176-B120,A176,B120,2,False,0.2706,0.0628,-0.0267,2.56,0.1624,0.3071,0.0365,0.004,0.048,mixed
A81-B27,A81,B27,3,True,0.269,0.0144,-0.0283,2.58,0.2713,0.299,0.0084,0.0038,0.0448,mixed
A63-B75,A63,B75,2,True,0.2681,0.0554,-0.0291,2.59,0.2227,0.3154,0.0233,0.012,0.0398,mixed
A96-B79,A96,B79,3,True,0.2666,0.0316,-0.0306,2.6,0.2779,0.3231,0.0125,0.0034,0.0442,mixed
A81-B40,A81,B40,3,True,0.2657,0.0207,-0.0315,2.61,0.2686,0.3095,0.0099,0.0049,0.0431,mixed
A78-B26,A78,B26,2,True,0.2644,0.0317,-0.0329,2.62,0.2755,0.3146,0.0114,0.0037,0.0422,mixed
A81-B84,A81,B84,3,True,0.2643,0.0184,-0.0329,2.62,0.2681,0.3029,0.0092,0.0039,0.0441,mixed
A196-B27,A196,B27,3,True,0.2626,0.0099,-0.0346,2.64,0.2642,0.2921,0.0069,0.0052,0.0464,mixed
A81-B75,A81,B75,3,True,0.2601,0.019,-0.0371,2.66,0.2632,0.2968,0.0098,0.0042,0.0435,mixed
A78-B137,A78,B137,3,True,0.2561,0.0085,-0.0412,2.71,0.2572,0.287,0.0078,0.005,0.0485,mixed
A196-B122,A196,B122,3,True,0.2555,0.0246,-0.0418,2.71,0.2718,0.3082,0.0101,0.0031,0.0414,mixed
A81-B163,A81,B163,1,False,0.2545,0.08,-0.0428,2.72,0.181,0.2941,0.0368,0.0345,0.0324,mixed
A78-B115,A78,B115,1,False,0.2545,0.08,-0.0428,2.72,0.181,0.2891,0.0344,0.0345,0.0324,mixed
A65-B171,A65,B171,1,False,0.2545,0.08,-0.0428,2.72,0.1842,0.291,0.0368,0.0345,0.0324,mixed
A78-B169,A78,B169,1,False,0.2545,0.08,-0.0428,2.72,0.1832,0.2779,0.0322,0.0345,0.0324,mixed
A78-B87,A78,B87,1,False,0.2545,0.08,-0.0428,2.72,0.1755,0.2796,0.0357,0.0345,0.0324,mixed
A84-B132,A84,B132,1,False,0.2545,0.08,-0.0428,2.72,0.1808,0.2882,0.0363,0.0345,0.0324,mixed
A96-B127,A96,B127,1,False,0.2545,0.08,-0.0428,2.72,0.1853,0.2903,0.0355,0.0345,0.0324,mixed
A90-B165,A90,B165,1,False,0.2545,0.08,-0.0428,2.72,0.1782,0.2927,0.0375,0.0345,0.0324,mixed
A78-B149,A78,B149,1,False,0.2545,0.08,-0.0428,2.72,0.1782,0.2925,0.0365,0.0345,0.0324,mixed
A49-B27,A49,B27,1,False,0.2545,0.08,-0.0428,2.72,0.1839,0.2864,0.034,0.0345,0.0324,mixed
A20-B117,A20,B117,1,False,0.2545,0.08,-0.0428,2.72,0.1791,0.2888,0.0357,0.0345,0.0324,mixed
A152-B9,A152,B9,1,False,0.2545,0.08,-0.0428,2.72,0.1829,0.2843,0.0356,0.0345,0.0324,mixed
A194-B117,A194,B117,1,False,0.2545,0.08,-0.0428,2.72,0.1828,0.2891,0.0364,0.0345,0.0324,mixed
A176-B33,A176,B33,1,False,0.2545,0.08,-0.0428,2.72,0.1844,0.2855,0.0348,0.0345,0.0324,mixed
A153-B105,A153,B105,1,False,0.2545,0.08,-0.0428,2.72,0.1811,0.2864,0.0331,0.0345,0.0324,mixed
A152-B126,A152,B126,1,False,0.2545,0.08,-0.0428,2.72,0.181,0.2952,0.0397,0.0345,0.0324,mixed
A146-B137,A146,B137,1,False,0.2545,0.08,-0.0428,2.72,0.1834,0.2901,0.0367,0.0345,0.0324,mixed
A115-B84,A115,B84,1,False,0.2545,0.08,-0.0428,2.72,0.1853,0.2883,0.0328,0.0345,0.0324,mixed
A132-B15,A132,B15,1,False,0.2545,0.08,-0.0428,2.72,0.1841,0.2874,0.0344,0.0345,0.0324,mixed
A90-B147,A90,B147,1,False,0.2545,0.08,-0.0428,2.72,0.1755,0.2867,0.0371,0.0345,0.0324,mixed
A149-B6,A149,B6,1,False,0.2545,0.08,-0.0428,2.72,0.1841,0.2855,0.0329,0.0345,0.0324,mixed
A145-B30,A145,B30,1,False,0.2545,0.08,-0.0428,2.72,0.1842,0.2892,0.0381,0.0345,0.0324,mixed
A196-B169,A196,B169,1,False,0.2545,0.08,-0.0428,2.72,0.1833,0.2824,0.034,0.0345,0.0324,mixed
A78-B70,A78,B70,3,True,0.2527,0.0266,-0.0446,2.74,0.264,0.3007,0.0096,0.0025,0.0425,mixed
A98-B77,A98,B77,1,False,0.2514,0.0799,-0.0458,2.76,0.1835,0.2885,0.0368,0.0318,0.0323,mixed
A78-B93,A78,B93,1,False,0.2514,0.0799,-0.0458,2.76,0.1854,0.2847,0.0325,0.0318,0.0323,mixed
A143-B77,A143,B77,1,False,0.2514,0.0799,-0.0458,2.76,0.1773,0.2899,0.0335,0.0318,0.0323,mixed
A132-B117,A132,B117,1,False,0.2514,0.0799,-0.0458,2.76,0.1817,0.2767,0.0325,0.0318,0.0323,mixed
A23-B151,A23,B151,1,False,0.2514,0.0799,-0.0458,2.76,0.1763,0.2864,0.0313,0.0318,0.0323,mixed
A25-B30,A25,B30,1,False,0.2514,0.0799,-0.0458,2.76,0.1835,0.2808,0.0326,0.0318,0.0323,mixed
A196-B23,A196,B23,1,False,0.2514,0.0799,-0.0458,2.76,0.1871,0.2823,0.0339,0.0318,0.0323,mixed
A196-B19,A196,B19,1,False,0.2514,0.0799,-0.0458,2.76,0.1853,0.297,0.0365,0.0318,0.0323,mixed
A4-B171,A4,B171,1,False,0.2514,0.0799,-0.0458,2.76,0.185,0.2882,0.0316,0.0318,0.0323,mixed
A89-B119,A89,B119,1,False,0.2514,0.0799,-0.0458,2.76,0.1782,0.2856,0.0343,0.0318,0.0323,mixed
A153-B8,A153,B8,1,False,0.2514,0.0799,-0.0458,2.76,0.1844,0.2887,0.0367,0.0318,0.0323,mixed
A147-B6,A147,B6,1,False,0.2514,0.0799,-0.0458,2.76,0.1845,0.2917,0.0363,0.0318,0.0323,mixed
A176-B132,A176,B132,1,False,0.2514,0.0799,-0.0458,2.76,0.1852,0.2849,0.0343,0.0318,0.0323,mixed
A186-B115,A186,B115,1,False,0.2514,0.0799,-0.0458,2.76,0.1835,0.2866,0.0348,0.0318,0.0323,mixed
A186-B75,A186,B75,1,False,0.2514,0.0799,-0.0458,2.76,0.1864,0.2865,0.0319,0.0318,0.0323,mixed
A196-B120,A196,B120,1,False,0.2514,0.0799,-0.0458,2.76,0.1844,0.2817,0.034,0.0318,0.0323,mixed
A143-B145,A143,B145,1,False,0.2514,0.0799,-0.0458,2.76,0.1825,0.2942,0.0365,0.0318,0.0323,mixed
A132-B171,A132,B171,1,False,0.2514,0.0799,-0.0458,2.76,0.1797,0.2823,0.036,0.0318,0.0323,mixed
A78-B97,A78,B97,1,False,0.2514,0.0799,-0.0458,2.76,0.1826,0.2933,0.0364,0.0318,0.0323,mixed
A60-B151,A60,B151,1,False,0.2514,0.0799,-0.0458,2.76,0.1773,0.2864,0.0359,0.0318,0.0323,mixed
A74-B23,A74,B23,1,False,0.2514,0.0799,-0.0458,2.76,0.1815,0.2955,0.0349,0.0318,0.0323,mixed
A68-B27,A68,B27,1,False,0.2514,0.0799,-0.0458,2.76,0.1856,0.2855,0.0343,0.0318,0.0323,mixed
A63-B23,A63,B23,1,False,0.2514,0.0799,-0.0458,2.76,0.1853,0.2812,0.035,0.0318,0.0323,mixed
A23-B87,A23,B87,1,False,0.2514,0.0799,-0.0458,2.76,0.1817,0.2793,0.0333,0.0318,0.0323,mixed
A20-B30,A20,B30,3,True,0.2501,0.0362,-0.0471,2.77,0.2603,0.3125,0.0135,0.0073,0.0436,mixed
A81-B51,A81,B51,3,True,0.2499,0.0307,-0.0473,2.77,0.2745,0.3174,0.0106,0.0039,0.0417,mixed
A90-B120,A90,B120,3,True,0.2498,0.0185,-0.0475,2.78,0.2567,0.2906,0.0085,0.0044,0.0435,mixed
A162-B137,A162,B137,2,True,0.2448,0.0592,-0.0525,2.83,0.2232,0.3041,0.0235,0.0057,0.0379,mixed
A20-B60,A20,B60,3,False,0.2446,0.0586,-0.0527,2.83,0.1914,0.2985,0.0265,0.0048,0.0317,mixed
A196-B15,A196,B15,3,True,0.2414,0.0157,-0.0559,2.87,0.2454,0.2747,0.0086,0.004,0.0441,mixed
A176-B101,A176,B101,1,False,0.2409,0.0788,-0.0563,2.88,0.1979,0.2879,0.0321,0.0276,0.0298,mixed
A126-B137,A126,B137,1,False,0.2409,0.0788,-0.0563,2.88,0.1936,0.2919,0.0334,0.0276,0.0298,mixed
A90-B23,A90,B23,1,False,0.2409,0.0788,-0.0563,2.88,0.1958,0.2948,0.0334,0.0276,0.0298,mixed
A96-B91,A96,B91,1,False,0.2409,0.0788,-0.0563,2.88,0.1978,0.2963,0.034,0.0276,0.0298,mixed
A78-B69,A78,B69,1,False,0.2408,0.0758,-0.0564,2.88,0.1705,0.2942,0.0349,0.0256,0.0309,mixed
A78-B130,A78,B130,1,False,0.2408,0.0758,-0.0564,2.88,0.1702,0.296,0.0354,0.0256,0.0309,mixed
A81-B4,A81,B4,3,False,0.2401,0.0507,-0.0571,2.89,0.2353,0.3088,0.0196,0.0059,0.0377,mixed
A81-B65,A81,B65,3,True,0.2379,0.0374,-0.0594,2.91,0.2571,0.2983,0.0121,0.0067,0.0428,mixed
A63-B147,A63,B147,3,False,0.2371,0.0572,-0.0602,2.92,0.1976,0.2976,0.0283,0.0015,0.0382,mixed
A81-B18,A81,B18,3,True,0.2359,0.0193,-0.0613,2.94,0.2394,0.275,0.0097,0.0037,0.0443,mixed
A90-B154,A90,B154,2,True,0.2357,0.0505,-0.0615,2.94,0.2529,0.3111,0.0168,0.0044,0.0377,mixed
A186-B143,A186,B143,1,False,0.2355,0.0754,-0.0617,2.94,0.1818,0.2992,0.0298,0.024,0.0302,mixed
A152-B149,A152,B149,1,False,0.2355,0.0754,-0.0617,2.94,0.1712,0.2888,0.0364,0.024,0.0302,mixed
A20-B178,A20,B178,3,True,0.2343,0.0499,-0.0629,2.96,0.2267,0.3023,0.0227,0.0072,0.0414,mixed
A196-B85,A196,B85,3,True,0.2333,0.0573,-0.0639,2.97,0.1893,0.2967,0.0279,0.0078,0.0386,mixed
A78-B9,A78,B9,2,False,0.2312,0.0717,-0.0661,3.0,0.1472,0.2653,0.031,0.0002,0.0302,mixed
A81-B15,A81,B15,2,False,0.2312,0.0717,-0.0661,3.0,0.1502,0.2649,0.0309,0.0002,0.0302,mixed
A78-B23,A78,B23,2,False,0.2312,0.0717,-0.0661,3.0,0.1482,0.2744,0.0342,0.0002,0.0302,mixed
A81-B137,A81,B137,2,False,0.2312,0.0717,-0.0661,3.0,0.1533,0.2639,0.0319,0.0002,0.0302,mixed
A90-B145,A90,B145,3,True,0.2305,0.0255,-0.0667,3.01,0.2526,0.2856,0.0096,0.0024,0.0401,mixed
A20-B11,A20,B11,1,False,0.2281,0.0727,-0.0692,3.04,0.213,0.3059,0.0266,0.0221,0.0406,mixed
A68-B117,A68,B117,1,False,0.2281,0.0727,-0.0692,3.04,0.1686,0.2998,0.035,0.0221,0.0406,mixed
A152-B110,A152,B110,3,True,0.2277,0.0435,-0.0696,3.04,0.2362,0.3003,0.017,0.0033,0.0428,mixed
A20-B8,A20,B8,2,False,0.222,0.0702,-0.0753,3.12,0.1627,0.2673,0.0336,0.0049,0.0301,mixed
A196-B163,A196,B163,2,False,0.222,0.0702,-0.0753,3.12,0.1655,0.2733,0.0272,0.0049,0.0301,mixed
A152-B151,A152,B151,3,True,0.219,0.0233,-0.0782,3.16,0.241,0.2756,0.0101,0.0041,0.0414,mixed
A81-B6,A81,B6,2,False,0.2163,0.0678,-0.0809,3.2,0.153,0.2805,0.0359,0.0054,0.0517,anchor/prior-driven
A90-B119,A90,B119,3,True,0.208,0.0432,-0.0893,3.33,0.2346,0.3041,0.0183,0.0039,0.0405,mixed
A159-B49,A159,B49,3,True,0.2044,0.0527,-0.0929,3.39,0.2148,0.2891,0.0205,0.0057,0.0393,mixed
A96-B75,A96,B75,3,True,0.2022,0.0487,-0.0951,3.43,0.2179,0.2874,0.02,0.0158,0.0379,mixed
A81-B140,A81,B140,3,True,0.2002,0.0313,-0.0971,3.46,0.2342,0.282,0.0118,0.0034,0.0403,mixed
A90-B59,A90,B59,3,True,0.1982,0.0463,-0.099,3.5,0.2236,0.2929,0.0175,0.0062,0.0403,mixed
A90-B159,A90,B159,3,False,0.1775,0.056,-0.1198,3.91,0.2135,0.282,0.0177,0.0054,0.0351,mixed
A90-B155,A90,B155,3,True,0.1579,0.0283,-0.1394,4.39,0.1972,0.2393,0.0109,0.0048,0.0385,mixed
