Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
B4_M_bcfr,4MXB,bcfr,A78-B151,A78,B151,3,"3,4,13",262,3.8245,-0.0803,-0.0803,,-0.0238,-0.0238,-0.00304,-0.00304,constant,constant,none,False,,,,0.9992,0.9992,,0.00745,,-0.0803,0.03878,0.00394,True
B4_M_bcfr,4MXB,bcfr,A78-B171,A78,B171,2,"3,4",5,0.0884,-0.0475,-0.0475,,-0.0139,-0.0139,-0.0018,-0.0018,constant,constant,none,False,,,,0.9291,0.9291,,0.00755,,-0.0475,0.00077,0.0,True
B4_M_bcfr,4MXB,bcfr,A78-B26,A78,B26,2,"3,4",10,0.7418,-0.1285,-0.1285,,-0.0392,-0.0392,-0.00487,-0.00487,constant,constant,none,False,,,,0.8053,0.8053,,0.18856,,-0.1285,0.0018,0.0,True
B4_M_bcfr,4MXB,bcfr,A78-B70,A78,B70,2,"3,4",14,1.0705,-0.1686,-0.1686,,-0.0514,-0.0514,-0.00639,-0.00639,constant,constant,none,False,,,,0.8015,0.8015,,0.34268,,-0.1686,0.00257,0.0,True
B4_M_bcfr,4MXB,bcfr,A78-B77,A78,B77,3,"3,4,13",807,5.0302,-0.1916,-0.1916,,-0.052,-0.052,-0.00726,-0.00726,constant,constant,none,False,,,,0.9086,0.9086,,5.22059,,-0.1916,0.12198,0.00341,True
B4_M_bcfr,4MXB,bcfr,A78-B84,A78,B84,3,"3,4,13",101,2.9725,-0.2075,-0.2075,,-0.0563,-0.0563,-0.00786,-0.00786,constant,constant,none,False,,,,0.9404,0.9404,,0.43811,,-0.2075,0.01567,0.00026,True
B4_M_bcfr,4MXB,bcfr,A81-B12,A81,B12,2,"3,4",7,0.4179,-0.0548,-0.0548,,-0.0128,-0.0128,-0.00208,-0.00208,constant,constant,none,False,,,,0.1262,0.1262,,0.91392,,-0.0548,0.00077,0.0,True
B4_M_bcfr,4MXB,bcfr,A81-B132,A81,B132,3,"3,4,13",129,3.0183,0.0222,0.0222,,0.0057,0.0057,0.00084,0.00084,constant,constant,none,False,,,,0.0973,0.0973,,7.5502,,0.0222,0.02003,0.00525,True
B4_M_bcfr,4MXB,bcfr,A81-B140,A81,B140,2,"3,4",15,1.3383,-0.221,-0.221,,-0.0701,-0.0701,-0.00837,-0.00837,constant,constant,none,False,,,,0.375,0.375,,3.98387,,-0.221,0.0036,0.0,True
B4_M_bcfr,4MXB,bcfr,A81-B18,A81,B18,2,"3,4",39,2.1383,-0.3384,-0.3384,,-0.1033,-0.1033,-0.01282,-0.01282,constant,constant,none,False,,,,0.6837,0.6837,,2.86041,,-0.3384,0.00796,0.0,True
B4_M_bcfr,4MXB,bcfr,A81-B27,A81,B27,3,"3,4,13",54,2.3301,-0.1614,-0.1614,,-0.0464,-0.0464,-0.00611,-0.00611,constant,constant,none,False,,,,0.9968,0.9968,,0.01247,,-0.1614,0.00847,0.00026,True
