allele_kind,allele,marginal_s_per_cycle,marginal_s_per_generation,se,n_pairs,n_samples,drift_null_p,exceeds_drift_null,robust_selection,R_allele_OD_clock_per_h,R_allele_lo,R_allele_hi,correction_frac_of_mubulk,flag_anchor_is_community_level,flag_correction_is_few_pct_of_mubulk,flag_OD_not_biomass,flag_derived_not_measured
verB,B87,-0.041564406730332,-0.0124,0.0160799027792854,6,3,0.5666666666666667,False,False,0.2926,0.2926,0.2926,0.015,True,True,True,True
verB,B171,-0.0433928083162413,-0.0129,0.0115599029296676,8,3,0.5433333333333333,False,False,0.2924,0.2924,0.2924,0.016,True,True,True,True
verB,B103,-0.048061759982305,-0.0143,0.0840303774693182,2,3,0.4333333333333333,False,False,0.2919,0.2919,0.2919,0.018,True,True,True,True
verB,B75,-0.0481136142557269,-0.0143,0.0104861006131248,7,3,0.4466666666666666,False,False,0.2919,0.2919,0.2919,0.018,True,True,True,True
verB,B154,-0.0576867677192559,-0.0172,0.0577746937245412,2,2,0.37,False,False,0.2908,0.2908,0.2908,0.022,True,True,True,True
verB,B59,-0.0616635684093535,-0.0184,0.0612898803319815,5,3,0.36,False,False,0.2904,0.2904,0.2904,0.023,True,True,True,True
verB,B12,-0.0629707460845851,-0.0187,0.0659106969802925,2,3,0.3666666666666666,False,False,0.2902,0.2902,0.2902,0.023,True,True,True,True
verB,B42,-0.0629707460845851,-0.0187,0.0659106969802925,2,2,0.3733333333333333,False,False,0.2902,0.2902,0.2902,0.023,True,True,True,True
verB,B142,-0.0651113405005432,-0.0194,0.0822667901765021,1,2,0.3766666666666666,False,False,0.29,0.29,0.29,0.024,True,True,True,True
verB,B110,-0.074775918725933,-0.0223,0.0244215739748919,2,3,0.28,False,False,0.2889,0.2889,0.2889,0.028,True,True,True,True
verB,B70,-0.076462377714177,-0.0228,0.0226267156596382,3,3,0.18,False,False,0.2887,0.2887,0.2887,0.029,True,True,True,True
verB,B50,-0.076542049935501,-0.0228,0.0772540588778188,3,3,0.27,False,False,0.2887,0.2887,0.2887,0.029,True,True,True,True
verB,B151,-0.0841189381438109,-0.025,0.0022654850417683,12,3,0.0,True,True,0.2879,0.2879,0.2879,0.031,True,True,True,True
verB,B123,-0.0864637193786852,-0.0257,0.0507659571463761,2,3,0.05,False,False,0.2876,0.2876,0.2876,0.032,True,True,True,True
verB,B30,-0.0919916669219129,-0.0274,0.000999034255532,10,3,0.2066666666666666,False,False,0.287,0.287,0.287,0.034,True,True,True,True
verB,B49,-0.0958054473341649,-0.0285,0.137026786120429,1,3,0.2266666666666666,False,False,0.2866,0.2866,0.2866,0.036,True,True,True,True
verB,B65,-0.1009163063662829,-0.03,0.0482025515113223,2,3,0.1,False,False,0.286,0.286,0.286,0.038,True,True,True,True
verB,B137,-0.1016460289256271,-0.0302,0.0586717232589019,4,3,0.03,True,False,0.2859,0.2859,0.2859,0.038,True,True,True,True
verB,B51,-0.1062804976397329,-0.0316,0.0216524705212743,3,3,0.1033333333333333,False,False,0.2854,0.2854,0.2854,0.04,True,True,True,True
verB,B26,-0.1248530181397945,-0.0372,0.0469184385492007,2,2,0.0233333333333333,True,False,0.2834,0.2834,0.2834,0.047,True,True,True,True
verB,B84,-0.1280374500825814,-0.0381,0.0082352908926012,14,3,0.0,True,True,0.283,0.283,0.283,0.048,True,True,True,True
verB,B145,-0.1479951666083339,-0.044,0.0156947442086079,3,3,0.0066666666666666,True,False,0.2808,0.2808,0.2808,0.055,True,True,True,True
verB,B122,-0.1512630167528993,-0.045,0.0471277520358787,3,3,0.0066666666666666,True,False,0.2804,0.2804,0.2804,0.056,True,True,True,True
verB,B2,-0.1547395416543135,-0.046,0.1187282232869144,3,3,0.0,True,False,0.2801,0.2801,0.2801,0.058,True,True,True,True
verB,B27,-0.1636212978098857,-0.0487,0.0085227890647659,6,3,0.0,True,True,0.2791,0.2791,0.2791,0.061,True,True,True,True
verB,B6,-0.165608130280525,-0.0493,0.0286641613821646,5,3,0.0,True,True,0.2789,0.2789,0.2789,0.062,True,True,True,True
verB,B140,-0.1687004362232209,-0.0502,0.0137862463536763,5,3,0.0033333333333333,True,True,0.2785,0.2785,0.2785,0.063,True,True,True,True
verB,B77,-0.1755777692519441,-0.0523,0.0054778463714117,6,3,0.0,True,True,0.2777,0.2777,0.2777,0.065,True,True,True,True
verB,B120,-0.179568600210337,-0.0534,0.0228067320960838,3,3,0.0033333333333333,True,False,0.2773,0.2773,0.2773,0.067,True,True,True,True
verB,B18,-0.1912097264023438,-0.0569,0.0340035050832007,4,3,0.0,True,False,0.276,0.276,0.276,0.071,True,True,True,True
verB,B155,-0.242590475736755,-0.0722,0.1372771142553505,3,3,0.0,True,False,0.2703,0.2703,0.2703,0.09,True,True,True,True
verB,B40,-0.2426349482898154,-0.0722,0.0759395452839793,2,3,0.0,True,False,0.2703,0.2703,0.2703,0.09,True,True,True,True
verB,B15,-0.2835849898566359,-0.0844,0.0325559158141393,3,3,0.0,True,False,0.2658,0.2658,0.2658,0.106,True,False,True,True
