Sample,DNA_construct,Replicate,Microtiter_plate_well,Transfer,verA,verB,Candidate,Count,depth,freq
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B9,A78-B9,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B93,A78-B93,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B97,A78-B97,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B12,A81-B12,7,9625,0.0007272727272727272
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B132,A81-B132,219,9625,0.022753246753246754
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B137,A81-B137,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B140,A81-B140,35,9625,0.0036363636363636364
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B15,A81-B15,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B163,A81-B163,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B171,A81-B171,23,9625,0.0023896103896103894
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B18,A81-B18,81,9625,0.008415584415584416
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B27,A81-B27,93,9625,0.009662337662337662
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B3,A81-B3,9,9625,0.0009350649350649351
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B4,A81-B4,6,9625,0.0006233766233766234
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B40,A81-B40,40,9625,0.004155844155844156
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B42,A81-B42,7,9625,0.0007272727272727272
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B5,A81-B5,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B51,A81-B51,20,9625,0.002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B6,A81-B6,3,9625,0.0003116883116883117
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B65,A81-B65,15,9625,0.0015584415584415584
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B75,A81-B75,57,9625,0.005922077922077922
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B77,A81-B77,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B8,A81-B8,2361,9625,0.2452987012987013
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A81,B84,A81-B84,51,9625,0.005298701298701298
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A83,B50,A83-B50,17,9625,0.0017662337662337662
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A84,B132,A84-B132,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A89,B119,A89-B119,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B119,A90-B119,14,9625,0.0014545454545454545
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B120,A90-B120,71,9625,0.007376623376623376
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B145,A90-B145,39,9625,0.004051948051948052
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B147,A90-B147,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B151,A90-B151,81,9625,0.008415584415584416
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B154,A90-B154,8,9625,0.0008311688311688312
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B155,A90-B155,63,9625,0.006545454545454545
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B159,A90-B159,9,9625,0.0009350649350649351
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B165,A90-B165,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B18,A90-B18,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B23,A90-B23,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B26,A90-B26,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B47,A90-B47,6,9625,0.0006233766233766234
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B59,A90-B59,14,9625,0.0014545454545454545
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A90,B84,A90-B84,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A93,B8,A93-B8,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A96,B127,A96-B127,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A96,B140,A96-B140,6,9625,0.0006233766233766234
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A96,B75,A96-B75,9,9625,0.0009350649350649351
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A96,B79,A96-B79,15,9625,0.0015584415584415584
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A96,B87,A96-B87,10,9625,0.001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A96,B91,A96-B91,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A98,B77,A98-B77,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A1,B87,A1-B87,1,10293,9.71534052268532e-05
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A102,B120,A102-B120,3,10293,0.0002914602156805596
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A132,B87,A132-B87,1,10293,9.71534052268532e-05
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A135,B84,A135-B84,3,10293,0.0002914602156805596
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A143,B100,A143-B100,1,10293,9.71534052268532e-05
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A143,B130,A143-B130,1,10293,9.71534052268532e-05
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A143,B148,A143-B148,1,10293,9.71534052268532e-05
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A143,B84,A143-B84,2021,10293,0.1963470319634703
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A143,B92,A143-B92,1,10293,9.71534052268532e-05
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A143,B93,A143-B93,2,10293,0.0001943068104537064
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A145,B8,A145-B8,1,10293,9.71534052268532e-05
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A15,B84,A15-B84,1,10293,9.71534052268532e-05
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A151,B19,A151-B19,1,10293,9.71534052268532e-05
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A152,B100,A152-B100,52,10293,0.005051977071796367
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A152,B110,A152-B110,4,10293,0.0003886136209074128
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A152,B151,A152-B151,22,10293,0.0021373749149907703
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A153,B30,A153-B30,95,10293,0.009229573496551053
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A153,B6,A153-B6,72,10293,0.006995045176333431
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A159,B24,A159-B24,2,10293,0.0001943068104537064
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,4,A159,B49,A159-B49,1,10293,9.71534052268532e-05
