Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A162-B137,A162,B137,2,"3,4",5,0.1688,-0.0836,-0.0836,,-0.0248,-0.0248,-0.00317,-0.00317,constant,constant,none,False,,,,0.3947,0.3947,,0.50277,,-0.0836,0.00042,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A176-B120,A176,B120,2,"3,4",5,0.1688,-0.0836,-0.0836,,-0.0248,-0.0248,-0.00317,-0.00317,constant,constant,none,False,,,,0.3947,0.3947,,0.50277,,-0.0836,0.00042,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A186-B30,A186,B30,2,"3,4",12,0.9028,-0.1247,-0.1247,,-0.0348,-0.0348,-0.00472,-0.00472,constant,constant,none,False,,,,0.4241,0.4241,,1.03261,,-0.1247,0.00062,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A186-B78,A186,B78,2,"4,13",3,-0.9331,0.2078,0.2078,,0.0612,0.0612,0.00787,0.00787,constant,constant,none,False,,,,0.8776,0.8776,,0.59785,,0.2078,0.0,0.0002,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A186-B79,A186,B79,3,"3,4,13",1905,2.332,0.5384,0.5384,,0.1566,0.1566,0.02039,0.02039,constant,constant,none,False,,,,0.9923,0.9923,,14.1901,,0.5384,0.00436,0.17962,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A191-B84,A191,B84,3,"3,4,13",3,-0.6516,0.128,0.128,,0.0374,0.0374,0.00485,0.00485,constant,constant,none,False,,,,0.9703,0.9703,,0.04568,,0.128,0.0001,0.0001,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B117,A196,B117,4,"3,4,6,13",1187,5.4177,-0.1408,-0.1408,,-0.0316,-0.0316,-0.00533,-0.00533,constant,constant,decelerating,True,,,,0.087,0.087,,141.26888,,-0.1408,0.0613,0.00029,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B122,A196,B122,2,"3,4",53,2.3838,-0.3073,-0.3073,,-0.0861,-0.0861,-0.01164,-0.01164,constant,constant,none,False,,,,0.7975,0.7975,,1.47928,,-0.3073,0.00353,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B123,A196,B123,3,"3,4,13",40,2.021,-0.1401,-0.1401,,-0.0399,-0.0399,-0.00531,-0.00531,constant,constant,none,False,,,,0.5633,0.5633,,2.1992,,-0.1401,0.00229,0.0001,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B15,A196,B15,2,"3,4",171,3.5784,-0.3998,-0.3998,,-0.1077,-0.1077,-0.01514,-0.01514,constant,constant,none,False,,,,0.7961,0.7961,,3.62693,,-0.3998,0.01174,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B150,A196,B150,2,"3,4",93,2.8994,-0.1199,-0.1199,,-0.0263,-0.0263,-0.00454,-0.00454,constant,constant,none,False,,,,0.0671,0.0671,,14.19271,,-0.1199,0.00457,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B171,A196,B171,4,"3,4,6,13",331,4.167,-0.2515,-0.2515,,-0.0676,-0.0676,-0.00953,-0.00953,constant,constant,decelerating,True,,,,0.5161,0.5161,,19.84607,,-0.2515,0.01901,0.0002,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B2,A196,B2,3,"3,4,6",197,3.6184,-0.219,-0.219,,-0.056,-0.056,-0.00829,-0.00829,constant,constant,none,False,,,,0.4664,0.4664,,7.93897,,-0.219,0.01101,0.0,True
