Sample,Candidate,verA,verB,n_obs_timepoints,s_constant_per_cycle,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,deployed_model,r2_1var,r2_4var_capability,r2_4var_deployed,wrss_1var,wrss_4var_capability,bic_1var,bic_4var_capability,bic_4var_increasing,bic_prefers_4var_capability,bic_prefers_4var_increasing,loocv_rmse_1var_free,loocv_rmse_4var_free,loocv_folds_free,loocv_rmse_1var_fixedelbow,loocv_rmse_4var_fixedelbow,loocv_folds_fixedelbow,oos_4var_better_free,abs_phase_range
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A78-B117,A78,B117,4,0.0286,2.94,0.0286,0.0286,,constant,0.0215,0.8783,0.0215,32.71945,4.06893,11.179,4.227,,True,False,2.1839,1.6998,4,0.9971,1.0502,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A78-B30,A78,B30,4,0.1753,2.3903,0.1753,0.1753,,constant,0.6195,0.9993,0.6195,33.23301,0.05718,11.242,-12.832,,True,False,2.8495,2.523,4,1.3731,0.1943,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A83-B101,A83,B101,4,0.0042,0.851,0.0042,0.0042,,constant,0.0018,0.9736,0.0018,1.20707,0.03195,-2.02,-15.161,,True,False,1.1501,1.2473,4,0.4147,0.2072,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A83-B40,A83,B40,4,-0.1765,2.4654,-0.1765,-0.1765,,constant,0.9635,0.9986,0.9635,0.21711,0.00833,-8.882,-20.536,,True,False,0.2509,0.1602,4,0.2774,0.095,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,A153-B30,A153,B30,4,0.0074,2.3838,0.0074,0.0074,,constant,0.0013,0.9475,0.0013,13.77948,0.72424,7.72,-2.677,,True,False,1.7935,2.1451,4,0.6191,0.3998,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,A78-B117,A78,B117,4,0.0602,-0.0573,0.0602,0.0602,,constant,0.4232,0.9985,0.4232,0.53453,0.00136,-5.278,-27.773,,True,False,0.7587,0.6726,4,0.8049,0.0794,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,A81-B6,A81,B6,4,0.1988,3.1297,0.1988,0.1988,,constant,0.7902,0.9882,0.7902,63.55531,3.57373,13.835,3.708,,True,False,1.9358,1.5326,4,0.8911,0.6546,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,A90-B75,A90,B75,4,-0.0392,2.8318,-0.0392,-0.0392,,constant,0.0428,0.8756,0.0428,13.20179,1.7156,7.549,0.773,,True,False,1.5884,1.2144,4,0.5189,0.4646,3,True,0.0
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A153-B137,A153,B137,4,-0.0092,1.6665,-0.0092,-0.0092,,constant,0.0009,0.8784,0.0009,14.48794,1.76378,7.921,0.884,,True,False,2.6221,3.3578,4,1.0234,1.1488,3,False,0.0
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A153-B77,A153,B77,4,0.1211,1.4311,0.1211,0.1211,,constant,0.4587,0.9011,0.4587,13.57218,2.47965,7.659,2.246,,True,False,2.3276,3.6247,4,1.1894,1.8187,3,False,0.0
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A196-B168,A196,B168,4,0.0532,2.696,0.0532,0.0532,,constant,0.3018,0.972,0.3018,13.9672,0.56054,7.774,-3.702,,True,False,1.1241,0.7375,4,1.0871,0.4014,3,True,0.0
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A63-B40,A63,B40,4,0.0087,-0.2298,0.0087,0.0087,,constant,0.3602,0.7764,0.3602,0.01289,0.00451,-20.177,-22.996,,True,False,0.0704,0.1728,4,0.0605,0.18,3,False,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A196-B151,A196,B151,4,0.0244,3.1138,0.0244,0.0244,,constant,0.021,0.9831,0.021,28.90444,0.49817,10.683,-4.174,,True,False,1.8711,1.6155,4,0.7773,0.3181,3,True,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A196-B38,A196,B38,4,-0.0065,1.7803,-0.0065,-0.0065,,constant,0.0207,0.9992,0.0207,0.67607,0.00053,-4.338,-31.523,,True,False,0.4097,0.3899,4,0.426,0.0241,3,True,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A81-B2,A81,B2,4,0.2302,1.6833,0.2302,0.2302,,constant,0.9486,0.9996,0.9486,4.17979,0.03383,2.948,-14.931,,True,False,0.9016,1.2973,4,0.7927,0.1478,3,False,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A16-B137,A16,B137,4,0.011,1.2663,0.011,0.011,,constant,0.0046,0.9534,0.0046,4.34346,0.20333,3.102,-7.758,,True,False,1.8587,2.1929,4,0.8013,0.5936,3,False,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A186-B3,A186,B3,4,-0.0801,1.509,-0.0801,-0.0801,,constant,0.1694,0.9999,0.1694,3.76819,0.00053,2.534,-31.582,,True,False,1.2224,1.6528,4,1.1544,0.0322,3,False,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A196-B2,A196,B2,4,0.0202,1.6494,0.0202,0.0202,,constant,0.0696,0.8781,0.0696,1.91492,0.25096,-0.174,-6.916,,True,False,0.9817,0.6559,4,0.4378,0.4618,3,True,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A196-B79,A196,B79,4,-0.0408,1.8953,-0.0408,-0.0408,,constant,0.3104,0.7408,0.3104,1.24188,0.4669,-1.906,-4.433,,True,False,0.2962,0.7581,4,0.2575,0.7943,3,False,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A196-B87,A196,B87,4,-0.0211,2.7809,-0.0211,-0.0211,,constant,0.0378,0.933,0.0378,7.95283,0.5535,5.522,-3.752,,True,False,1.233,0.9532,4,0.5147,0.4008,3,True,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A20-B71,A20,B71,4,0.0084,0.6006,0.0084,0.0084,,constant,0.0046,0.6714,0.0046,1.55355,0.5129,-1.01,-4.057,,True,False,1.2897,2.4751,4,0.6563,1.3492,3,False,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A21-B6,A21,B6,4,-0.0492,1.7756,-0.0492,-0.0492,,constant,0.7641,0.998,0.7641,0.20392,0.00169,-9.133,-26.912,,True,False,0.2369,0.1208,4,0.2457,0.0503,3,True,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A78-B137,A78,B137,4,0.0823,1.8233,0.0823,0.0823,,constant,0.2412,0.9979,0.2412,11.32403,0.03066,6.935,-15.326,,True,False,2.3982,2.3593,4,1.1267,0.1983,3,True,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A81-B6,A81,B6,4,0.2736,1.1487,0.2736,0.2736,,constant,0.9577,0.9934,0.9577,3.17951,0.49729,1.854,-4.181,,True,False,1.2782,1.9184,4,0.6513,0.9234,3,False,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.4,A196-B4,A196,B4,4,0.1977,4.1556,0.1977,0.1977,,constant,0.6564,0.9693,0.6564,151.28442,13.50842,17.304,9.027,,True,False,3.4199,2.7989,4,1.9695,2.0053,3,True,0.0
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A186-B26,A186,B26,4,-0.0295,1.2262,-0.1593,-0.019,4.0,two_phase,0.7538,1.0,1.0,0.0528,1e-05,-14.538,-48.21,-48.21,True,True,0.1796,0.1658,4,0.1909,0.0049,3,True,0.1403
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A78-B26,A78,B26,4,0.2559,0.8941,-0.2989,0.446,6.0,two_phase,0.9239,0.9994,0.9994,3.44061,0.02601,2.17,-15.984,-15.984,True,True,2.7471,2.3715,4,0.9999,0.2163,3,True,0.7449
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B30,A81,B30,4,0.1485,2.5594,-0.1758,0.2587,6.0,two_phase,0.8738,0.9986,0.9986,7.53683,0.08247,5.307,-11.368,-11.368,True,True,1.5978,1.7222,4,0.566,0.1528,3,False,0.4345
