Sample,assay,Microtiter_plate_well,Transfer,verA,verB,Candidate,Count,depth,freq
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A96,B26,A96-B26,2,218,0.0091743119266055
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A96,B87,A96-B87,2,218,0.0091743119266055
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A152,B154,A152-B154,7,125,0.056
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A153,B137,A153-B137,17,125,0.136
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A153,B77,A153-B77,19,125,0.152
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A185,B26,A185-B26,1,125,0.008
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A196,B168,A196-B168,40,125,0.32
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A20,B95,A20-B95,3,125,0.024
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A63,B40,A63-B40,1,125,0.008
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A78,B3,A78-B3,6,125,0.048
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A81,B101,A81-B101,4,125,0.032
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A81,B51,A81-B51,7,125,0.056
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A81,B61,A81-B61,3,125,0.024
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A83,B151,A83-B151,14,125,0.112
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,6,A96,B87,A96-B87,3,125,0.024
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A153,B137,A153-B137,1,188,0.0053191489361702
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A153,B77,A153-B77,21,188,0.1117021276595744
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A185,B26,A185-B26,8,188,0.0425531914893617
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A196,B168,A196-B168,40,188,0.2127659574468085
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A20,B95,A20-B95,1,188,0.0053191489361702
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A63,B40,A63-B40,1,188,0.0053191489361702
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A78,B3,A78-B3,16,188,0.0851063829787234
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A81,B51,A81-B51,71,188,0.3776595744680851
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A83,B104,A83-B104,1,188,0.0053191489361702
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A83,B151,A83-B151,25,188,0.1329787234042553
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A90,B150,A90-B150,1,188,0.0053191489361702
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A96,B26,A96-B26,1,188,0.0053191489361702
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,13,A96,B3,A96-B3,1,188,0.0053191489361702
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A143,B13,A143-B13,2,132,0.0151515151515151
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A143,B137,A143-B137,2,132,0.0151515151515151
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A152,B47,A152-B47,2,132,0.0151515151515151
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A16,B140,A16-B140,1,132,0.0075757575757575
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A16,B145,A16-B145,4,132,0.0303030303030303
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A186,B117,A186-B117,1,132,0.0075757575757575
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A186,B63,A186-B63,1,132,0.0075757575757575
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A186,B70,A186-B70,4,132,0.0303030303030303
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A186,B84,A186-B84,2,132,0.0151515151515151
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A196,B119,A196-B119,2,132,0.0151515151515151
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A196,B15,A196-B15,1,132,0.0075757575757575
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A196,B151,A196-B151,19,132,0.1439393939393939
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A196,B38,A196-B38,8,132,0.0606060606060606
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A196,B52,A196-B52,3,132,0.0227272727272727
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A196,B84,A196-B84,11,132,0.0833333333333333
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A20,B126,A20-B126,1,132,0.0075757575757575
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A20,B13,A20-B13,2,132,0.0151515151515151
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A20,B6,A20-B6,21,132,0.1590909090909091
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A20,B84,A20-B84,10,132,0.0757575757575757
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A63,B103,A63-B103,1,132,0.0075757575757575
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A63,B75,A63-B75,1,132,0.0075757575757575
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A63,B79,A63-B79,3,132,0.0227272727272727
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A78,B101,A78-B101,4,132,0.0303030303030303
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A78,B130,A78-B130,1,132,0.0075757575757575
